t,q1,q2,q3,q4,q5,q6
0.000000,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.010064,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.020128,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.030194,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.040254,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.050303,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.060358,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.070410,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.080463,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.090517,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.100578,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.110630,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.120682,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.130734,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.140785,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.150838,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.160891,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.170950,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.181009,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.191065,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.201127,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.211191,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.221254,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.231307,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.241361,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.251413,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.261465,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.271518,0.013177,-0.000695,0.035974,0.047418,-0.001717,-0.002480
0.281573,0.013177,-0.000698,0.035999,0.047395,-0.001717,-0.002480
0.291633,0.013177,-0.000702,0.036046,0.047353,-0.001717,-0.002480
0.301695,0.013177,-0.000707,0.036097,0.047307,-0.001717,-0.002480
0.311748,0.013177,-0.000712,0.036153,0.047256,-0.001717,-0.002480
0.321802,0.013177,-0.000718,0.036209,0.047206,-0.001717,-0.002480
0.331854,0.013177,-0.000724,0.036269,0.047151,-0.001717,-0.002480
0.341906,0.013177,-0.000730,0.036335,0.047092,-0.001717,-0.002480
0.351958,0.013177,-0.000736,0.036405,0.047028,-0.001717,-0.002480
0.362010,0.013177,-0.000743,0.036479,0.046961,-0.001717,-0.002480
0.372062,0.013178,-0.000750,0.036554,0.046893,-0.001718,-0.002480
0.382115,0.013178,-0.000758,0.036638,0.046817,-0.001718,-0.002480
0.392298,0.013178,-0.000766,0.036722,0.046741,-0.001718,-0.002480
0.402365,0.013178,-0.000774,0.036811,0.046660,-0.001718,-0.002480
0.412429,0.013179,-0.000783,0.036905,0.046574,-0.001719,-0.002480
0.422495,0.013179,-0.000792,0.037005,0.046484,-0.001719,-0.002480
0.432550,0.013180,-0.000801,0.037109,0.046389,-0.001720,-0.002480
0.442612,0.013180,-0.000811,0.037218,0.046290,-0.001720,-0.002481
0.452676,0.013181,-0.000821,0.037332,0.046186,-0.001721,-0.002481
0.462708,0.013182,-0.000832,0.037452,0.046077,-0.001721,-0.002481
0.472769,0.013182,-0.000843,0.037576,0.045963,-0.001722,-0.002481
0.482832,0.013183,-0.000854,0.037706,0.045845,-0.001723,-0.002481
0.492884,0.013184,-0.000865,0.037841,0.045721,-0.001724,-0.002482
0.502936,0.013185,-0.000877,0.037981,0.045593,-0.001725,-0.002482
0.512999,0.013187,-0.000889,0.038127,0.045459,-0.001726,-0.002482
0.523060,0.013188,-0.000901,0.038278,0.045320,-0.001728,-0.002483
