t,px,py,pz,qw,qx,qy,qz
0.000000,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.010062,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.020124,0.142086,-0.050151,0.297495,0.980374,-0.018339,-0.093938,-0.172356
0.030223,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.040282,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.050343,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.060398,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.070459,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.080522,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.090582,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.100643,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.110704,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.120767,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.130829,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.140888,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.150942,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.161001,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.171064,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.181123,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.191185,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.201248,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.211310,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.221367,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.231428,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.241582,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.251643,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.261702,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.271763,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.281820,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.291882,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.301944,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.312004,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.322064,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.332126,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.342179,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.352240,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.362303,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.372363,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.382424,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.392485,0.142161,-0.050178,0.297312,0.980410,-0.018277,-0.093563,-0.172361
0.402546,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.412604,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.422667,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.432727,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.442789,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.452876,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.462936,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.472997,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.483059,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.493121,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.503184,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.513245,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.523308,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.533372,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.543432,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.553483,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.563544,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.573605,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.583665,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.593729,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.603791,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.613850,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.623914,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.633973,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.644034,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.654095,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.664154,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.674215,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.684279,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.694339,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.704402,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.714465,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.724525,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.734588,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.744652,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.754710,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.764774,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.774834,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.784898,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.794962,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.805027,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.815086,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.825149,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.835206,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.845269,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.855328,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.865393,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.875452,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.885516,0.142151,-0.050174,0.297445,0.980392,-0.018308,-0.093751,-0.172359
0.895583,0.142140,-0.050170,0.297578,0.980374,-0.018339,-0.093938,-0.172356
0.905634,0.142140,-0.050170,0.297578,0.980374,-0.018339,-0.093938,-0.172356
0.915684,0.142140,-0.050170,0.297578,0.980374,-0.018339,-0.093938,-0.172356
0.925746,0.142130,-0.050167,0.297710,0.980356,-0.018370,-0.094125,-0.172353
0.935805,0.142130,-0.050167,0.297710,0.980356,-0.018370,-0.094125,-0.172353
