t,q1,q2,q3,q4,q5,q6
0.000000,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.010062,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.020124,-0.337797,0.605592,-0.407607,-0.389677,-0.009728,-0.005531
0.030223,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.040282,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.050343,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.060398,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.070459,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.080522,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.090582,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.100643,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.110704,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.120767,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.130829,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.140888,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.150942,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.161001,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.171064,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.181123,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.191185,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.201248,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.211310,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.221367,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.231428,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.241582,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.251643,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.261702,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.271763,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.281820,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.291882,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.301944,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.312004,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.322064,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.332126,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.342179,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.352240,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.362303,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.372363,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.382424,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.392485,-0.337797,0.605974,-0.407225,-0.389677,-0.009728,-0.005531
0.402546,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.412604,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.422667,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.432727,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
0.442789,-0.337797,0.605974,-0.407607,-0.389677,-0.009728,-0.005531
