t,ref,resp,err
0.000000,-0.610865,-0.607881,0.002984
0.010065,-0.610865,-0.607881,0.002984
0.020127,-0.610865,-0.607881,0.002984
0.030190,-0.610865,-0.607881,0.002984
0.040226,-0.610865,-0.607881,0.002984
0.050290,-0.610865,-0.607881,0.002984
0.060353,-0.610865,-0.607881,0.002984
0.070415,-0.610865,-0.607881,0.002984
0.080478,-0.610865,-0.607881,0.002984
0.090542,-0.610865,-0.607881,0.002984
0.100603,-0.610865,-0.607881,0.002984
0.110666,-0.610865,-0.607881,0.002984
0.120729,-0.610865,-0.607881,0.002984
0.130790,-0.610865,-0.607881,0.002984
0.140853,-0.610865,-0.607881,0.002984
0.150917,-0.610865,-0.607881,0.002984
0.160980,-0.610865,-0.607881,0.002984
0.171043,-0.610865,-0.607881,0.002984
0.181106,-0.610865,-0.607881,0.002984
0.191170,-0.610865,-0.607881,0.002984
0.201219,-0.610865,-0.607881,0.002984
0.211235,-0.610865,-0.607881,0.002984
0.221297,-0.610865,-0.607881,0.002984
0.231361,-0.610865,-0.607881,0.002984
0.241423,-0.610865,-0.607881,0.002984
0.251486,-0.610865,-0.607881,0.002984
0.261549,-0.610865,-0.607881,0.002984
0.271611,-0.610865,-0.607881,0.002984
0.281673,-0.610865,-0.607881,0.002984
0.291737,-0.610865,-0.607881,0.002984
0.301801,-0.610865,-0.607881,0.002984
0.311863,-0.610865,-0.607881,0.002984
0.321926,-0.610865,-0.607881,0.002984
0.331990,-0.610865,-0.607881,0.002984
0.342050,-0.610865,-0.607881,0.002984
0.352111,-0.610865,-0.607881,0.002984
0.362172,-0.610865,-0.607881,0.002984
0.372235,-0.610865,-0.607881,0.002984
0.382297,-0.610865,-0.607881,0.002984
0.392358,-0.610865,-0.607881,0.002984
0.402420,-0.610865,-0.607881,0.002984
0.412481,-0.610865,-0.607881,0.002984
0.422544,-0.610865,-0.607881,0.002984
0.432606,-0.610865,-0.607881,0.002984
0.442668,-0.610865,-0.607881,0.002984
