t,ref,resp,err
0.000000,-0.610865,-0.599489,0.011376
0.010062,-0.610865,-0.599489,0.011376
0.020123,-0.610865,-0.599489,0.011376
0.030184,-0.610865,-0.599489,0.011376
0.040244,-0.610865,-0.599489,0.011376
0.050304,-0.610865,-0.599489,0.011376
0.060364,-0.610865,-0.599489,0.011376
0.070426,-0.610865,-0.599489,0.011376
0.080485,-0.610865,-0.599489,0.011376
0.090545,-0.610865,-0.599489,0.011376
0.100606,-0.610865,-0.599489,0.011376
0.110667,-0.610865,-0.599489,0.011376
0.120726,-0.610865,-0.599489,0.011376
0.130786,-0.610865,-0.599489,0.011376
0.140846,-0.610865,-0.599489,0.011376
0.150905,-0.610865,-0.599489,0.011376
0.160965,-0.610865,-0.599870,0.010995
0.171026,-0.610865,-0.599489,0.011376
0.181116,-0.610865,-0.599489,0.011376
0.191175,-0.610865,-0.599489,0.011376
0.201236,-0.610865,-0.599489,0.011376
0.211298,-0.610865,-0.599870,0.010995
0.221359,-0.610865,-0.599489,0.011376
0.231419,-0.610865,-0.599489,0.011376
0.241478,-0.610865,-0.599489,0.011376
0.251539,-0.610865,-0.599489,0.011376
0.261600,-0.610865,-0.599489,0.011376
0.271662,-0.610865,-0.599489,0.011376
0.281721,-0.610865,-0.599489,0.011376
0.291780,-0.610865,-0.599489,0.011376
0.301839,-0.610865,-0.599489,0.011376
0.311899,-0.610865,-0.599489,0.011376
0.321959,-0.610865,-0.599489,0.011376
0.332018,-0.610865,-0.599870,0.010995
0.342080,-0.610865,-0.599489,0.011376
0.352140,-0.610865,-0.599489,0.011376
0.362200,-0.610865,-0.599489,0.011376
0.372261,-0.610865,-0.599870,0.010995
0.382322,-0.610865,-0.599870,0.010995
0.392383,-0.610865,-0.599870,0.010995
0.402443,-0.610865,-0.599489,0.011376
0.412551,-0.610865,-0.599870,0.010995
0.422611,-0.610865,-0.599870,0.010995
0.432672,-0.610865,-0.599870,0.010995
0.442734,-0.610865,-0.599870,0.010995
0.452796,-0.610865,-0.599870,0.010995
0.462856,-0.610865,-0.599870,0.010995
0.472915,-0.610865,-0.599870,0.010995
0.482980,-0.610865,-0.599870,0.010995
0.493041,-0.610865,-0.599870,0.010995
0.503101,-0.610865,-0.599870,0.010995
0.513160,-0.610865,-0.599870,0.010995
0.523221,-0.610865,-0.599870,0.010995
0.533282,-0.610865,-0.599489,0.011376
0.543342,-0.610865,-0.599870,0.010995
0.553403,-0.610865,-0.599870,0.010995
0.563464,-0.610865,-0.599870,0.010995
0.573526,-0.610865,-0.599870,0.010995
0.583586,-0.610865,-0.599870,0.010995
0.593641,-0.610865,-0.599870,0.010995
0.603703,-0.610865,-0.599870,0.010995
0.613763,-0.610865,-0.599870,0.010995
0.623822,-0.610865,-0.599870,0.010995
0.633882,-0.610865,-0.599870,0.010995
0.643944,-0.610865,-0.599870,0.010995
0.654004,-0.610865,-0.599870,0.010995
0.664065,-0.610865,-0.599870,0.010995
0.674127,-0.610865,-0.599870,0.010995
0.684188,-0.610865,-0.599870,0.010995
0.694248,-0.610865,-0.599870,0.010995
0.704308,-0.610865,-0.599870,0.010995
0.714363,-0.610865,-0.599870,0.010995
0.724424,-0.610865,-0.599870,0.010995
0.734484,-0.610865,-0.599870,0.010995
0.744544,-0.610865,-0.599870,0.010995
0.754605,-0.610865,-0.599870,0.010995
0.764664,-0.610865,-0.599870,0.010995
0.774724,-0.610865,-0.599870,0.010995
0.784784,-0.610865,-0.599870,0.010995
0.794846,-0.610865,-0.599870,0.010995
0.804907,-0.610865,-0.599870,0.010995
0.814967,-0.610865,-0.599870,0.010995
0.825030,-0.610865,-0.599870,0.010995
0.835091,-0.610865,-0.599870,0.010995
0.845152,-0.610865,-0.599870,0.010995
0.855214,-0.610865,-0.599870,0.010995
0.865274,-0.610865,-0.599870,0.010995
0.875334,-0.610865,-0.599870,0.010995
0.885395,-0.610865,-0.599870,0.010995
0.895456,-0.610865,-0.599870,0.010995
0.905517,-0.610865,-0.599870,0.010995
0.915580,-0.610865,-0.599870,0.010995
0.925640,-0.610865,-0.599870,0.010995
0.935701,-0.610865,-0.599870,0.010995
0.945762,-0.610865,-0.599870,0.010995
0.955824,-0.610865,-0.599870,0.010995
0.965885,-0.610865,-0.599870,0.010995
0.975945,-0.610865,-0.599870,0.010995
0.986008,-0.610865,-0.599870,0.010995
0.996067,-0.610865,-0.599870,0.010995
1.006127,-0.585203,-0.599870,-0.014668
1.016186,-0.543066,-0.599870,-0.056804
1.026247,-0.500921,-0.598344,-0.097423
1.036308,-0.458777,-0.595293,-0.136516
1.046368,-0.416640,-0.589570,-0.172930
1.056426,-0.374507,-0.583085,-0.208579
1.066488,-0.332362,-0.568208,-0.235846
1.076547,-0.290225,-0.556001,-0.265776
1.086609,-0.248078,-0.541123,-0.293045
1.096669,-0.205940,-0.514420,-0.308480
1.106728,-0.163803,-0.494202,-0.330398
1.116788,-0.121663,-0.459869,-0.338206
1.126849,-0.087266,-0.434691,-0.347425
1.136910,-0.087266,-0.395018,-0.307751
1.146969,-0.087266,-0.366407,-0.279141
1.157029,-0.087266,-0.324826,-0.237560
1.167088,-0.087266,-0.297360,-0.210094
1.177144,-0.087266,-0.260357,-0.173091
1.187197,-0.087266,-0.237087,-0.149821
1.197249,-0.087266,-0.205043,-0.117777
1.207310,-0.087266,-0.187114,-0.099847
1.217372,-0.087266,-0.163844,-0.076577
1.227431,-0.087266,-0.150492,-0.063226
1.237499,-0.087266,-0.134089,-0.046822
1.247563,-0.087266,-0.124933,-0.037667
1.257625,-0.087266,-0.114633,-0.027367
1.267684,-0.087266,-0.108911,-0.021645
1.277744,-0.087266,-0.102045,-0.014778
1.287803,-0.087266,-0.098993,-0.011726
1.297864,-0.087266,-0.097086,-0.009819
1.307924,-0.087266,-0.094797,-0.007530
1.317984,-0.087266,-0.094415,-0.007149
1.328044,-0.087266,-0.094415,-0.007149
1.338102,-0.087266,-0.094415,-0.007149
1.348162,-0.087266,-0.094415,-0.007149
1.358224,-0.087266,-0.094415,-0.007149
1.368289,-0.087266,-0.094797,-0.007530
1.378348,-0.087266,-0.094797,-0.007530
1.388407,-0.087266,-0.094797,-0.007530
1.398466,-0.087266,-0.094797,-0.007530
1.408521,-0.087266,-0.094797,-0.007530
1.418573,-0.087266,-0.094797,-0.007530
1.428626,-0.087266,-0.094797,-0.007530
1.438678,-0.087266,-0.094797,-0.007530
1.448730,-0.087266,-0.094797,-0.007530
1.458782,-0.087266,-0.094797,-0.007530
