t_epoch,t_rel_s,can_id_hex,dlc,data_hex
1784546670.199772,0.000000,0x01,8,047BFF7FF88007FF
1784546670.199934,0.000162,0x02,8,03D7CB8273832825
1784546670.200066,0.000294,0x03,8,028FFF82708338D6
1784546670.200105,0.000333,0x04,8,7FFF7FF0F566677A
1784546670.200190,0.000418,0x05,8,80017FF0511997FF
1784546670.200230,0.000458,0x06,8,7FFA8000CC1997FF
1784546670.200315,0.000543,0x01,8,207FE87FF7FF6874
1784546670.200355,0.000583,0x02,8,20826284182C6B77
1784546670.200632,0.000860,0x03,8,2082238308D16C77
1784546670.200757,0.000985,0x04,8,147FFE7FF7791F1D
1784546670.200980,0.001208,0x05,8,1580067FE7FA201E
1784546670.203847,0.004075,0x01,8,047BFF7FF88007FF
1784546670.204005,0.004233,0x02,8,03D7CB8277832825
1784546670.204101,0.004329,0x03,8,028FFF82748328D6
1784546670.204162,0.004390,0x04,8,7FFF7FF0F566677A
1784546670.204230,0.004458,0x05,8,80017FF0511997FF
1784546670.204282,0.004510,0x06,8,7FFA8000CC1997FF
1784546670.204355,0.004583,0x01,8,207FE87FE8096874
1784546670.204408,0.004636,0x02,8,2082668258216B77
1784546670.204708,0.004936,0x03,8,2082288398D76C77
1784546670.204832,0.005060,0x04,8,147FFE7FE77A1F1D
1784546670.205065,0.005293,0x05,8,1580067FE7FA201E
1784546670.207909,0.008137,0x01,8,047BFF7FF88007FF
1784546670.208070,0.008298,0x02,8,03D7CB827C831825
1784546670.208190,0.008418,0x03,8,028FFF82798328D6
1784546670.208229,0.008457,0x04,8,7FFF7FF0F566677A
1784546670.208315,0.008543,0x05,8,80017FF0511997FF
1784546670.208355,0.008583,0x06,8,7FFA8000CC1997FF
1784546670.208444,0.008672,0x01,8,207FE880080A6874
1784546670.208480,0.008708,0x02,8,20826B8318226B77
1784546670.208783,0.009011,0x03,8,20822D8288CB6C77
1784546670.208908,0.009136,0x04,8,147FFF8007791F1D
1784546670.209131,0.009359,0x05,8,1580067FF7FA201E
1784546670.211955,0.012183,0x01,8,047BFF7FF88007FF
1784546670.212121,0.012349,0x02,8,03D7CB8281831825
1784546670.212230,0.012458,0x03,8,028FFF827E8328D6
1784546670.212282,0.012510,0x04,8,7FFF7FF0F566677A
1784546670.212355,0.012583,0x05,8,80017FF0511997FF
1784546670.212407,0.012635,0x06,8,7FFA8000CC1997FF
1784546670.212453,0.012681,0x01,8,207FE87FF8106874
1784546670.212533,0.012761,0x02,8,20827083482F6B77
1784546670.212832,0.013060,0x03,8,2082318358DE6C77
1784546670.212931,0.013159,0x04,8,147FFE7FF7791F1D
1784546670.213190,0.013418,0x05,8,1580067FF7FA201E
1784546670.216024,0.016252,0x01,8,047BFF7FF88007FF
1784546670.216188,0.016416,0x02,8,03D7CB8285831825
1784546670.216315,0.016543,0x03,8,028FFF82838318D6
1784546670.216353,0.016581,0x04,8,7FFF7FF0F566677B
1784546670.216440,0.016668,0x05,8,80017FF0511997FF
1784546670.216479,0.016707,0x06,8,7FFA8000CC1997FF
1784546670.216604,0.016832,0x01,8,207FE98018056874
1784546670.216661,0.016889,0x02,8,2082768308016B77
1784546670.216907,0.017135,0x03,8,20823682F8D16C77
1784546670.217002,0.017230,0x04,8,147FFF7FF7791F1D
1784546670.217256,0.017484,0x05,8,1580067FF7FA201E
1784546670.220085,0.020313,0x01,8,047BFF7FF88007FF
1784546670.220206,0.020434,0x02,8,03D7CB828A831825
1784546670.220380,0.020608,0x03,8,028FFF82878318D6
1784546670.220428,0.020656,0x04,8,7FFF7FF0F566677B
1784546670.220479,0.020707,0x05,8,80017FF0511997FF
1784546670.220604,0.020832,0x06,8,7FFA8000CC1997FF
1784546670.220657,0.020885,0x01,8,207FE97FE80A6874
1784546670.220703,0.020931,0x02,8,20827982A82E6B77
1784546670.220957,0.021185,0x03,8,20823C83B8CC6C77
1784546670.221081,0.021309,0x04,8,147FFE7FF77A1F1D
1784546670.221314,0.021542,0x05,8,1580067FF7FA201E
1784546670.224154,0.024382,0x01,8,047BFF7FF88007FF
1784546670.224323,0.024551,0x02,8,03D7CB828E830824
1784546670.224439,0.024667,0x03,8,028FFF828C8318D6
1784546670.224479,0.024707,0x04,8,7FFF7FF0F566677B
1784546670.224604,0.024832,0x05,8,80017FF0511997FF
1784546670.224656,0.024884,0x06,8,7FFB8000CC1997FF
1784546670.224707,0.024935,0x01,8,207FE97FF8046874
1784546670.224756,0.024984,0x02,8,20827E8308256B77
1784546670.225031,0.025259,0x03,8,2082408398CC6C77
1784546670.225157,0.025385,0x04,8,147FFF7FF77A1F1D
1784546670.225380,0.025608,0x05,8,1580067FF7F9201E
1784546670.228201,0.028429,0x01,8,047BFF7FF88007FF
1784546670.228357,0.028585,0x02,8,03D7CB8293830824
1784546670.228456,0.028684,0x03,8,028FFF82908318D6
1784546670.228505,0.028733,0x04,8,7FFF7FF0F566677B
1784546670.228604,0.028832,0x05,8,80017FF0511997FF
1784546670.228656,0.028884,0x01,8,207FE98007FE6874
1784546670.228703,0.028931,0x06,8,7FFB8000CC1997FF
1784546670.228755,0.028983,0x02,8,20828383E8266B77
1784546670.229064,0.029292,0x03,8,2082458278D96C77
1784546670.229189,0.029417,0x04,8,147FFF7FF77A1F1D
1784546670.229439,0.029667,0x05,8,1580067FF7FA201E
1784546670.232247,0.032475,0x01,8,047BFF7FF88007FF
1784546670.232368,0.032596,0x02,8,03D7CB8297830824
1784546670.232531,0.032759,0x03,8,028FFF82958308D5
1784546670.232603,0.032831,0x04,8,7FFF7FF0F566677B
1784546670.232656,0.032884,0x05,8,80017FF0511997FF
1784546670.232703,0.032931,0x06,8,7FFB8000CC1997FF
1784546670.232781,0.033009,0x01,8,207FE87FF80B6874
1784546670.232827,0.033055,0x02,8,20828782682B6B77
1784546670.233104,0.033332,0x03,8,2082498338D76C77
1784546670.233228,0.033456,0x04,8,147FFF80077A1F1D
1784546670.233478,0.033706,0x05,8,1580067FF7FA201E
1784546670.236272,0.036500,0x01,8,047BFF7FF98007FF
1784546670.236393,0.036621,0x02,8,03D7CB829C82F824
1784546670.236603,0.036831,0x03,8,028FFF82998308D5
1784546670.236656,0.036884,0x04,8,7FFF7FF0F566677B
1784546670.236706,0.036934,0x05,8,80017FF0511997FF
1784546670.236781,0.037009,0x06,8,7FFB7FF0CC1997FF
1784546670.236827,0.037055,0x01,8,207FE87FE7FF6874
1784546670.236906,0.037134,0x02,8,20828B83181F6B77
1784546670.237130,0.037358,0x03,8,20824D82B8C76C77
1784546670.237255,0.037483,0x04,8,147FFF7FF77A1F1D
1784546670.237505,0.037733,0x05,8,1580067FF7FA201E
1784546670.240352,0.040580,0x01,8,047BFF7FF98007FF
1784546670.240473,0.040701,0x02,8,03D7CB82A082F824
1784546670.240629,0.040857,0x03,8,028FFF829E8308D5
1784546670.240684,0.040912,0x04,8,7FFF7FF0F566677B
1784546670.240728,0.040956,0x05,8,80017FF0511997FF
1784546670.240814,0.041042,0x06,8,7FFB7FF0CC1997FF
1784546670.240853,0.041081,0x01,8,207FE98018046874
1784546670.240939,0.041167,0x02,8,20829082D8286B77
1784546670.241205,0.041433,0x03,8,2082528318C76C77
1784546670.241330,0.041558,0x04,8,147FFF7FF77A1F1D
1784546670.241603,0.041831,0x05,8,1580067FF7FA201E
1784546670.244406,0.044634,0x01,8,047BFF7FF98007FF
1784546670.244580,0.044808,0x02,8,03D7CB82A582F824
1784546670.244660,0.044888,0x03,8,028FFF82A282F8D5
1784546670.244754,0.044982,0x04,8,7FFF7FF0F566677B
1784546670.244802,0.045030,0x05,8,80017FF0511997FF
1784546670.244852,0.045080,0x06,8,7FFB7FF0CC1997FF
1784546670.244938,0.045166,0x01,8,207FE98008056874
1784546670.244981,0.045209,0x02,8,2082958368056B77
1784546670.245280,0.045508,0x03,8,2082568288E26C77
1784546670.245405,0.045633,0x04,8,147FFF7FF77A1F1D
1784546670.245629,0.045857,0x05,8,1580067FF7F9201E
1784546670.248440,0.048668,0x01,8,047BFF7FF98007FF
1784546670.248581,0.048809,0x02,8,03D7CB82A982E824
1784546670.248705,0.048933,0x03,8,028FFF82A782F8D5
1784546670.248757,0.048985,0x04,8,7FFF7FF0F566677B
1784546670.248830,0.049058,0x05,8,80017FF0511997FF
1784546670.248878,0.049106,0x06,8,7FFB7FF0CC1997FF
1784546670.248955,0.049183,0x01,8,207FE97FE7F26874
1784546670.249004,0.049232,0x02,8,2082998278286B77
1784546670.249312,0.049540,0x03,8,20825B83A8C26C77
1784546670.249437,0.049665,0x04,8,147FFE7FE7791F1D
1784546670.249688,0.049916,0x05,8,1580067FF7F9201E
1784546670.252506,0.052734,0x01,8,047BFF7FF98007FF
1784546670.252640,0.052868,0x02,8,03D7CB82AE82E823
1784546670.252764,0.052992,0x03,8,028FFF82AB82F8D5
1784546670.252821,0.053049,0x04,8,7FFF7FF0F566677B
1784546670.252904,0.053132,0x05,8,80017FF0511997FF
1784546670.252951,0.053179,0x06,8,7FFB7FF0CC1997FF
1784546670.253029,0.053257,0x01,8,207FE97FE81B6874
1784546670.253080,0.053308,0x02,8,20829D82C81A6B77
1784546670.253378,0.053606,0x03,8,20825F82C8CF6C77
1784546670.253503,0.053731,0x04,8,147FFF7FF77A1F1D
1784546670.253727,0.053955,0x05,8,1580067FF7F9201E
1784546670.256581,0.056809,0x01,8,047BFF7FF98007FF
1784546670.256702,0.056930,0x02,8,03D7CB82B282E823
1784546670.256852,0.057080,0x03,8,028FFF82B082E8D5
1784546670.256904,0.057132,0x04,8,7FFF7FF0F566677B
1784546670.256950,0.057178,0x05,8,80017FF0511997FF
1784546670.257029,0.057257,0x06,8,7FFB7FF0CC1997FF
1784546670.257075,0.057303,0x01,8,207FE98017FF6874
1784546670.257154,0.057382,0x02,8,2082A182682F6B77
1784546670.257437,0.057665,0x03,8,20826482C8BD6C77
1784546670.257603,0.057831,0x04,8,147FFF7FF77B1F1D
1784546670.257780,0.058008,0x05,8,1580067FF7FA201E
1784546670.260578,0.060806,0x01,8,047BFF7FF98007FF
1784546670.260759,0.060987,0x02,8,03D7CB82B682D823
1784546670.260880,0.061108,0x03,8,028FFF82B482E8D5
1784546670.260926,0.061154,0x04,8,7FFF7FF0F566677B
1784546670.260976,0.061204,0x05,8,80017FF0511997FF
1784546670.261033,0.061261,0x06,8,7FFB7FF0CC1997FF
1784546670.261101,0.061329,0x01,8,207FE97FF8056874
1784546670.261154,0.061382,0x02,8,2082A683381F6B77
1784546670.261454,0.061682,0x03,8,2082688308CD6C77
1784546670.261601,0.061829,0x04,8,147FFF7FF77A1F1D
1784546670.261829,0.062057,0x05,8,1580067FF7FA201E
1784546670.264685,0.064913,0x01,8,047BFF7FF98007FF
1784546670.264809,0.065037,0x02,8,03D7CB82BA82D823
1784546670.264954,0.065182,0x03,8,028FFF82B882E8D5
1784546670.265003,0.065231,0x04,8,7FFF7FF0F566677B
1784546670.265078,0.065306,0x05,8,80017FF0511997FF
1784546670.265127,0.065355,0x06,8,7FFB7FF0CC1997FF
1784546670.265176,0.065404,0x01,8,207FE97FF8096874
1784546670.265226,0.065454,0x02,8,2082AA82B82B6B77
1784546670.265601,0.065829,0x03,8,20826D82F8C56C77
1784546670.265686,0.065914,0x04,8,147FFF7FF77B1F1D
1784546670.265904,0.066132,0x05,8,1580067FF7FA201E
1784546670.268718,0.068946,0x01,8,047BFF7FF98007FF
1784546670.268839,0.069067,0x02,8,03D7CB82BF82D823
1784546670.269002,0.069230,0x03,8,028FFF82BD82D8D5
1784546670.269050,0.069278,0x04,8,7FFF7FF0F566677B
1784546670.269101,0.069329,0x05,8,80017FF0511997FF
1784546670.269154,0.069382,0x01,8,207FE98017FE6874
1784546670.269226,0.069454,0x06,8,7FFB7FF0CC1997FF
1784546670.269278,0.069506,0x02,8,2082AE82F8216B77
1784546670.269601,0.069829,0x03,8,20827182D8CE6C77
1784546670.269706,0.069934,0x04,8,147FFE7FE77A1F1D
1784546670.269954,0.070182,0x05,8,1580067FF7F9201E
1784546670.272770,0.072998,0x01,8,047BFF7FFA8007FF
1784546670.272893,0.073121,0x02,8,03D7CB82C382C823
1784546670.273028,0.073256,0x03,8,028FFF82C182D8D5
1784546670.273074,0.073302,0x04,8,7FFF7FF0F566677B
1784546670.273153,0.073381,0x05,8,80007FF0511997FF
1784546670.273203,0.073431,0x06,8,7FFB7FF0CC1997FF
1784546670.273279,0.073507,0x01,8,207FE980080A6874
1784546670.273328,0.073556,0x02,8,2082B283A82D6B77
1784546670.273627,0.073855,0x03,8,20827582A8C86C77
1784546670.273748,0.073976,0x04,8,147FFF7FE77A1F1D
1784546670.273976,0.074204,0x05,8,1580067FF7F9201E
1784546670.276813,0.077041,0x01,8,047BFF7FFA8007FF
1784546670.276975,0.077203,0x02,8,03D7CB82C782C823
1784546670.277079,0.077307,0x03,8,028FFF82C582C8D5
