t,ref,resp,err,eff
0.000000,-0.261799,-0.248150,0.013650,-0.207570
0.010065,-0.261799,-0.248150,0.013650,-0.207570
0.020133,-0.261799,-0.248150,0.013650,-0.207570
0.030197,-0.261799,-0.248150,0.013650,-0.207570
0.040257,-0.261799,-0.248150,0.013650,-0.207570
0.050320,-0.261799,-0.248150,0.013650,-0.207570
0.060379,-0.261799,-0.248150,0.013650,-0.207570
0.070442,-0.261799,-0.248150,0.013650,-0.207570
0.080502,-0.261799,-0.248150,0.013650,-0.207570
0.090563,-0.261799,-0.248150,0.013650,-0.207570
0.100624,-0.261799,-0.248150,0.013650,-0.207570
0.110686,-0.261799,-0.248150,0.013650,-0.207570
0.120751,-0.261799,-0.248150,0.013650,-0.207570
0.130818,-0.261799,-0.248150,0.013650,-0.207570
0.140881,-0.261799,-0.248150,0.013650,-0.207570
0.150940,-0.261799,-0.248150,0.013650,-0.207570
0.161002,-0.261799,-0.251965,0.009835,-0.153846
0.171061,-0.261799,-0.251965,0.009835,-0.153846
0.181122,-0.261799,-0.251965,0.009835,-0.153846
0.191187,-0.261799,-0.251965,0.009835,-0.153846
0.201246,-0.261799,-0.251965,0.009835,-0.153846
0.211306,-0.261799,-0.251965,0.009835,-0.153846
0.221369,-0.261799,-0.251965,0.009835,-0.153846
0.231433,-0.261799,-0.251965,0.009835,-0.153846
0.241495,-0.261799,-0.251965,0.009835,-0.153846
0.251556,-0.261799,-0.251965,0.009835,-0.153846
0.261616,-0.261799,-0.251965,0.009835,-0.153846
0.271678,-0.261799,-0.251965,0.009835,-0.153846
0.281788,-0.261799,-0.251965,0.009835,-0.153846
0.291849,-0.261799,-0.251965,0.009835,-0.153846
0.301921,-0.261799,-0.251965,0.009835,-0.153846
0.311982,-0.261799,-0.254253,0.007546,-0.129426
0.322048,-0.261799,-0.254253,0.007546,-0.129426
0.332113,-0.261799,-0.254253,0.007546,-0.129426
0.342174,-0.261799,-0.254253,0.007546,-0.129426
0.352234,-0.261799,-0.254253,0.007546,-0.129426
0.362294,-0.261799,-0.254253,0.007546,-0.129426
0.372354,-0.261799,-0.254253,0.007546,-0.129426
0.382414,-0.261799,-0.254253,0.007546,-0.129426
0.392477,-0.261799,-0.254253,0.007546,-0.129426
0.402539,-0.261799,-0.254253,0.007546,-0.129426
0.412605,-0.261799,-0.254253,0.007546,-0.129426
0.422668,-0.261799,-0.254253,0.007546,-0.129426
0.432729,-0.261799,-0.254253,0.007546,-0.129426
0.442791,-0.261799,-0.254253,0.007546,-0.129426
0.452852,-0.261799,-0.254253,0.007546,-0.129426
0.462906,-0.261799,-0.254253,0.007546,-0.129426
0.472966,-0.261799,-0.254253,0.007546,-0.129426
0.483027,-0.261799,-0.254253,0.007546,-0.129426
0.493087,-0.261799,-0.254253,0.007546,-0.129426
0.503148,-0.261799,-0.254253,0.007546,-0.129426
0.513214,-0.261799,-0.254253,0.007546,-0.129426
0.523278,-0.261799,-0.254253,0.007546,-0.129426
0.533337,-0.261799,-0.254253,0.007546,-0.129426
0.543397,-0.261799,-0.254253,0.007546,-0.134310
0.553458,-0.261799,-0.254253,0.007546,-0.134310
0.563517,-0.261799,-0.254253,0.007546,-0.134310
0.573579,-0.261799,-0.254253,0.007546,-0.134310
0.583638,-0.261799,-0.254253,0.007546,-0.134310
0.593700,-0.261799,-0.254253,0.007546,-0.134310
0.603759,-0.261799,-0.254253,0.007546,-0.134310
0.613828,-0.261799,-0.254253,0.007546,-0.134310
0.623893,-0.261799,-0.254253,0.007546,-0.134310
0.633955,-0.261799,-0.254253,0.007546,-0.134310
0.644015,-0.261799,-0.254253,0.007546,-0.134310
0.654074,-0.261799,-0.254253,0.007546,-0.134310
0.664136,-0.261799,-0.254253,0.007546,-0.134310
0.674198,-0.261799,-0.254253,0.007546,-0.134310
0.684259,-0.261799,-0.254253,0.007546,-0.134310
0.694318,-0.261799,-0.254253,0.007546,-0.134310
0.704391,-0.261799,-0.254253,0.007546,-0.134310
0.714459,-0.261799,-0.254253,0.007546,-0.134310
0.724523,-0.261799,-0.254253,0.007546,-0.134310
0.734585,-0.261799,-0.254253,0.007546,-0.134310
