t,ref,resp,err,eff
0.000000,-0.261799,-0.258068,0.003731,-0.134310
0.010061,-0.261799,-0.258068,0.003731,-0.134310
0.020126,-0.261799,-0.258068,0.003731,-0.134310
0.030189,-0.261799,-0.258068,0.003731,-0.134310
0.040256,-0.261799,-0.258068,0.003731,-0.134310
0.050325,-0.261799,-0.258068,0.003731,-0.134310
0.060389,-0.261799,-0.258068,0.003731,-0.134310
0.070450,-0.261799,-0.258068,0.003731,-0.134310
0.080513,-0.261799,-0.258068,0.003731,-0.134310
0.090574,-0.261799,-0.258068,0.003731,-0.134310
0.100637,-0.261799,-0.258068,0.003731,-0.134310
0.110701,-0.261799,-0.258068,0.003731,-0.134310
0.120764,-0.261799,-0.258068,0.003731,-0.134310
0.130829,-0.261799,-0.258068,0.003731,-0.134310
0.140890,-0.261799,-0.258068,0.003731,-0.134310
0.150954,-0.261799,-0.258068,0.003731,-0.134310
0.161008,-0.261799,-0.258068,0.003731,-0.134310
0.171072,-0.261799,-0.258068,0.003731,-0.134310
0.181133,-0.261799,-0.258068,0.003731,-0.134310
0.191197,-0.261799,-0.258068,0.003731,-0.134310
0.201260,-0.261799,-0.258068,0.003731,-0.134310
0.211322,-0.261799,-0.258068,0.003731,-0.134310
0.221384,-0.261799,-0.258068,0.003731,-0.134310
0.231448,-0.261799,-0.258068,0.003731,-0.134310
0.241516,-0.261799,-0.258068,0.003731,-0.134310
0.251583,-0.261799,-0.258068,0.003731,-0.134310
0.261644,-0.261799,-0.258068,0.003731,-0.134310
0.271706,-0.261799,-0.258068,0.003731,-0.134310
0.281864,-0.261799,-0.258068,0.003731,-0.139194
0.291924,-0.261799,-0.258068,0.003731,-0.139194
0.301985,-0.261799,-0.258068,0.003731,-0.139194
0.312049,-0.261799,-0.258068,0.003731,-0.139194
0.322112,-0.261799,-0.258068,0.003731,-0.139194
0.332174,-0.261799,-0.258068,0.003731,-0.134310
0.342237,-0.261799,-0.258068,0.003731,-0.134310
0.352292,-0.261799,-0.258068,0.003731,-0.134310
0.362354,-0.261799,-0.258068,0.003731,-0.134310
0.372416,-0.261799,-0.258068,0.003731,-0.134310
0.382480,-0.261799,-0.258068,0.003731,-0.134310
0.392543,-0.261799,-0.258068,0.003731,-0.134310
0.402608,-0.261799,-0.258068,0.003731,-0.134310
0.412670,-0.261799,-0.258068,0.003731,-0.134310
0.422723,-0.261799,-0.258068,0.003731,-0.134310
0.432786,-0.261799,-0.258068,0.003731,-0.134310
0.442846,-0.261799,-0.258068,0.003731,-0.134310
0.452907,-0.261799,-0.258068,0.003731,-0.134310
0.462973,-0.261799,-0.258068,0.003731,-0.134310
0.473034,-0.261799,-0.258068,0.003731,-0.134310
0.483098,-0.261799,-0.258068,0.003731,-0.134310
0.493164,-0.261799,-0.258068,0.003731,-0.134310
0.503228,-0.261799,-0.258068,0.003731,-0.134310
0.513293,-0.261799,-0.258068,0.003731,-0.134310
0.523354,-0.261799,-0.258068,0.003731,-0.134310
0.533415,-0.261799,-0.258068,0.003731,-0.134310
0.543477,-0.261799,-0.258068,0.003731,-0.134310
0.553540,-0.261799,-0.258068,0.003731,-0.134310
0.563603,-0.261799,-0.258068,0.003731,-0.134310
0.573668,-0.261799,-0.258068,0.003731,-0.134310
0.583730,-0.261799,-0.258068,0.003731,-0.134310
0.593792,-0.261799,-0.258068,0.003731,-0.134310
0.603855,-0.261799,-0.258068,0.003731,-0.134310
0.613917,-0.261799,-0.258068,0.003731,-0.134310
0.623978,-0.261799,-0.258068,0.003731,-0.134310
0.634039,-0.261799,-0.258068,0.003731,-0.134310
0.644101,-0.261799,-0.258068,0.003731,-0.134310
0.654165,-0.261799,-0.258068,0.003731,-0.134310
0.664226,-0.261799,-0.258068,0.003731,-0.134310
0.674289,-0.261799,-0.258068,0.003731,-0.134310
0.684353,-0.261799,-0.258068,0.003731,-0.134310
0.694418,-0.261799,-0.258068,0.003731,-0.134310
0.704480,-0.261799,-0.258068,0.003731,-0.134310
0.714543,-0.261799,-0.258068,0.003731,-0.134310
0.724608,-0.261799,-0.258068,0.003731,-0.134310
0.734671,-0.261799,-0.258068,0.003731,-0.139194
0.744724,-0.261799,-0.258068,0.003731,-0.139194
0.754776,-0.261799,-0.258068,0.003731,-0.139194
0.764828,-0.261799,-0.258068,0.003731,-0.139194
0.774889,-0.261799,-0.258068,0.003731,-0.139194
0.784953,-0.261799,-0.258068,0.003731,-0.139194
0.795016,-0.261799,-0.258068,0.003731,-0.139194
0.805081,-0.261799,-0.258068,0.003731,-0.139194
0.815142,-0.261799,-0.258068,0.003731,-0.139194
0.825193,-0.261799,-0.258068,0.003731,-0.139194
0.835256,-0.261799,-0.258068,0.003731,-0.139194
0.845309,-0.261799,-0.258068,0.003731,-0.139194
0.855361,-0.261799,-0.258068,0.003731,-0.139194
0.865414,-0.261799,-0.258068,0.003731,-0.139194
0.875466,-0.261799,-0.258068,0.003731,-0.139194
0.885519,-0.261799,-0.258068,0.003731,-0.139194
0.895571,-0.261799,-0.258068,0.003731,-0.139194
0.905625,-0.261799,-0.258068,0.003731,-0.139194
0.915677,-0.261799,-0.258068,0.003731,-0.139194
0.925740,-0.261799,-0.258068,0.003731,-0.139194
0.935849,-0.261799,-0.258068,0.003731,-0.139194
0.945913,-0.261799,-0.258068,0.003731,-0.139194
0.955975,-0.261799,-0.258068,0.003731,-0.139194
0.966035,-0.261799,-0.258068,0.003731,-0.139194
0.976090,-0.261799,-0.258068,0.003731,-0.134310
0.986152,-0.261799,-0.258068,0.003731,-0.134310
0.996211,-0.261799,-0.258068,0.003731,-0.134310
1.006273,-0.260157,-0.258068,0.002089,-0.134310
1.016330,-0.257524,-0.258068,-0.000544,-0.134310
1.026382,-0.254893,-0.258068,-0.003176,-0.134310
1.036434,-0.252261,-0.258068,-0.005807,-0.134310
1.046486,-0.249629,-0.258068,-0.008439,-0.134310
1.056538,-0.246998,-0.258068,-0.011070,-0.134310
1.066589,-0.244366,-0.258068,-0.013702,-0.134310
1.076643,-0.241734,-0.258068,-0.016334,-0.134310
1.086696,-0.239102,-0.258068,-0.018966,-0.134310
1.096748,-0.236471,-0.258068,-0.021597,-0.134310
1.106800,-0.233839,-0.258068,-0.024229,-0.134310
1.116852,-0.231207,-0.258068,-0.026861,-0.134310
1.126913,-0.228574,-0.258068,-0.029495,-0.134310
1.136975,-0.225939,-0.258068,-0.032129,-0.134310
1.147123,-0.223283,-0.258068,-0.034785,-0.134310
1.157176,-0.220651,-0.258068,-0.037417,-0.134310
1.167228,-0.218019,-0.258068,-0.040049,-0.134310
1.177290,-0.215385,-0.258068,-0.042683,-0.134310
1.187352,-0.212751,-0.258068,-0.045317,-0.134310
1.197416,-0.210116,-0.258068,-0.047952,-0.134310
1.207479,-0.207482,-0.258068,-0.050587,-0.134310
