t,ex,ey,ez,e_pos,e_ang
0.000000,0.001000,0.001469,-0.013138,0.013258,0.064510
0.010056,0.001000,0.001469,-0.013138,0.013258,0.064510
0.020218,0.001000,0.001469,-0.013138,0.013258,0.064510
0.030272,0.001000,0.001469,-0.013138,0.013258,0.064510
0.040325,0.001000,0.001469,-0.013138,0.013258,0.064510
0.050380,0.001000,0.001469,-0.013138,0.013258,0.064510
0.060444,0.001000,0.001469,-0.013138,0.013258,0.064510
0.070508,0.001000,0.001469,-0.013138,0.013258,0.064510
0.080543,0.001000,0.001469,-0.013138,0.013258,0.064510
0.090596,0.001000,0.001469,-0.013138,0.013258,0.064510
0.100647,0.001000,0.001469,-0.013138,0.013258,0.064510
0.110698,0.001000,0.001469,-0.013138,0.013258,0.064510
0.120748,0.001000,0.001469,-0.013138,0.013258,0.064510
0.130799,0.001000,0.001469,-0.013138,0.013258,0.064510
0.140849,0.001000,0.001469,-0.013138,0.013258,0.064510
0.150900,0.001000,0.001469,-0.013138,0.013258,0.064510
0.160951,0.001000,0.001469,-0.013138,0.013258,0.064510
0.171002,0.001000,0.001469,-0.013138,0.013258,0.064510
0.181053,0.001000,0.001469,-0.013138,0.013258,0.064510
0.191104,0.001000,0.001469,-0.013138,0.013258,0.064510
0.201155,0.001000,0.001469,-0.013138,0.013258,0.064510
0.211206,0.001000,0.001469,-0.013138,0.013258,0.064510
0.221257,0.001000,0.001469,-0.013138,0.013258,0.064510
0.231375,0.001000,0.001469,-0.013138,0.013258,0.064510
0.241426,0.001000,0.001469,-0.013138,0.013258,0.064510
0.251477,0.001000,0.001469,-0.013138,0.013258,0.064510
0.261528,0.001000,0.001469,-0.013138,0.013258,0.064510
0.271580,0.001000,0.001469,-0.013138,0.013258,0.064510
0.281631,0.001000,0.001469,-0.013144,0.013264,0.064510
0.291658,0.001000,0.001469,-0.013156,0.013275,0.064510
0.301710,0.001000,0.001469,-0.013169,0.013288,0.064510
0.311762,0.001000,0.001469,-0.013183,0.013302,0.064510
0.321814,0.001000,0.001469,-0.013196,0.013316,0.064510
0.331866,0.001000,0.001469,-0.013212,0.013331,0.064510
0.341917,0.001000,0.001469,-0.013228,0.013347,0.064510
0.351968,0.001000,0.001469,-0.013245,0.013364,0.064510
0.362020,0.001000,0.001469,-0.013264,0.013382,0.064510
0.372085,0.001000,0.001469,-0.013282,0.013401,0.064510
0.382138,0.001001,0.001469,-0.013303,0.013421,0.064510
0.392189,0.001001,0.001469,-0.013324,0.013442,0.064510
0.402241,0.001001,0.001469,-0.013346,0.013464,0.064510
0.412293,0.001001,0.001469,-0.013369,0.013487,0.064510
0.422344,0.001001,0.001469,-0.013394,0.013512,0.064510
0.432395,0.001001,0.001469,-0.013420,0.013537,0.064510
0.442446,0.001001,0.001469,-0.013447,0.013564,0.064510
0.452497,0.001002,0.001469,-0.013476,0.013592,0.064510
0.462548,0.001002,0.001469,-0.013505,0.013622,0.064510
0.472600,0.001002,0.001469,-0.013536,0.013652,0.064510
0.482651,0.001003,0.001469,-0.013568,0.013684,0.064510
0.492704,0.001003,0.001469,-0.013602,0.013718,0.064510
0.502755,0.001003,0.001469,-0.013637,0.013752,0.064510
0.512806,0.001004,0.001469,-0.013673,0.013788,0.064510
0.522858,0.001004,0.001469,-0.013711,0.013826,0.064510
0.532909,0.001005,0.001469,-0.013750,0.013864,0.064510
0.542961,0.001006,0.001469,-0.013790,0.013905,0.064510
0.553012,0.001006,0.001469,-0.013832,0.013946,0.064510
0.563064,0.001007,0.001469,-0.013876,0.013989,0.064510
0.573115,0.001008,0.001469,-0.013921,0.014034,0.064510
0.583167,0.001009,0.001469,-0.013968,0.014081,0.064510
0.593219,0.001010,0.001469,-0.014016,0.014129,0.064510
0.603272,0.001011,0.001469,-0.014065,0.014178,0.064510
0.613324,0.001012,0.001469,-0.014117,0.014230,0.064510
0.623375,0.001014,0.001469,-0.014171,0.014283,0.064510
0.633476,0.001015,0.001469,-0.014225,0.014337,0.064510
0.643527,0.001017,0.001469,-0.014282,0.014393,0.064510
0.653579,0.001018,0.001469,-0.014340,0.014451,0.064510
0.663630,0.001020,0.001469,-0.014400,0.014511,0.064510
0.673658,0.001022,0.001469,-0.014462,0.014572,0.064510
0.683710,0.001024,0.001469,-0.014526,0.014636,0.064510
0.693762,0.001027,0.001469,-0.014591,0.014700,0.064510
0.703814,0.001029,0.001469,-0.014659,0.014768,0.064510
0.713866,0.001032,0.001469,-0.014727,0.014836,0.064510
0.723917,0.001035,0.001469,-0.014799,0.014908,0.064510
0.733969,0.001038,0.001469,-0.014872,0.014980,0.064510
0.744021,0.001041,0.001469,-0.014947,0.015055,0.064510
0.754073,0.001045,0.001469,-0.015024,0.015131,0.064510
0.764125,0.001049,0.001469,-0.015102,0.015210,0.064510
0.774177,0.001053,0.001469,-0.015183,0.015290,0.064510
0.784229,0.001057,0.001469,-0.015265,0.015372,0.064510
0.794281,0.001062,0.001469,-0.015351,0.015457,0.064510
0.804332,0.001066,0.001469,-0.015437,0.015543,0.064510
0.814381,0.001072,0.001469,-0.015526,0.015633,0.064510
0.824451,0.001066,0.001473,-0.015485,0.015591,0.064136
0.834499,0.001072,0.001473,-0.015578,0.015684,0.064136
0.844548,0.001078,0.001473,-0.015673,0.015779,0.064136
0.854599,0.001085,0.001473,-0.015770,0.015876,0.064136
0.864647,0.001081,0.001477,-0.015737,0.015843,0.063762
0.874698,0.001088,0.001477,-0.015839,0.015944,0.063762
0.884751,0.001096,0.001477,-0.015942,0.016048,0.063762
0.894800,0.001094,0.001481,-0.015917,0.016023,0.063388
0.904852,0.001102,0.001481,-0.016024,0.016130,0.063388
0.914901,0.001100,0.001485,-0.016003,0.016109,0.063014
0.924951,0.001099,0.001488,-0.015982,0.016089,0.062640
0.935002,0.001120,0.001488,-0.016215,0.016322,0.062640
0.945054,0.001132,0.001488,-0.016335,0.016441,0.062640
0.955106,0.001144,0.001488,-0.016456,0.016563,0.062640
0.965154,0.001080,0.001515,-0.016398,0.016504,0.061893
0.975204,0.001093,0.001515,-0.016525,0.016630,0.061893
0.985257,0.001107,0.001515,-0.016654,0.016759,0.061893
0.995306,0.001103,0.001461,-0.016785,0.016884,0.061825
