t,px,py,pz,qw,qx,qy,qz
0.000000,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.010058,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.020110,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.030165,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.040217,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.050270,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.060323,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.070374,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.080426,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.090478,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.100530,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.110583,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.120636,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.130693,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.140756,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.150820,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.160883,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.170936,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.180988,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.191040,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.201094,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.211145,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.221199,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.231251,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.241303,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.251355,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.261421,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.271484,0.140595,-0.051173,0.311204,0.976383,-0.022666,-0.128543,-0.172163
0.281549,0.140595,-0.051173,0.311210,0.976383,-0.022666,-0.128543,-0.172163
0.291602,0.140595,-0.051173,0.311222,0.976383,-0.022666,-0.128543,-0.172163
0.301711,0.140595,-0.051173,0.311234,0.976383,-0.022666,-0.128543,-0.172163
0.311765,0.140595,-0.051173,0.311248,0.976383,-0.022666,-0.128543,-0.172163
0.321819,0.140595,-0.051173,0.311262,0.976383,-0.022666,-0.128543,-0.172163
0.331836,0.140595,-0.051173,0.311277,0.976383,-0.022666,-0.128543,-0.172163
0.341901,0.140595,-0.051173,0.311293,0.976383,-0.022666,-0.128543,-0.172163
0.351965,0.140595,-0.051173,0.311311,0.976383,-0.022666,-0.128543,-0.172163
0.362030,0.140595,-0.051173,0.311329,0.976383,-0.022666,-0.128543,-0.172163
0.372092,0.140595,-0.051173,0.311348,0.976383,-0.022666,-0.128543,-0.172163
0.382148,0.140595,-0.051173,0.311369,0.976383,-0.022666,-0.128543,-0.172163
0.392203,0.140595,-0.051173,0.311389,0.976383,-0.022666,-0.128543,-0.172163
0.402256,0.140595,-0.051173,0.311412,0.976383,-0.022666,-0.128543,-0.172163
0.412309,0.140595,-0.051173,0.311435,0.976383,-0.022666,-0.128543,-0.172163
0.422362,0.140594,-0.051173,0.311460,0.976383,-0.022666,-0.128543,-0.172163
0.432425,0.140594,-0.051173,0.311486,0.976383,-0.022666,-0.128543,-0.172163
0.442487,0.140594,-0.051173,0.311513,0.976383,-0.022666,-0.128543,-0.172163
0.452542,0.140594,-0.051173,0.311541,0.976383,-0.022666,-0.128543,-0.172163
0.462602,0.140593,-0.051173,0.311571,0.976383,-0.022666,-0.128543,-0.172163
0.472665,0.140593,-0.051173,0.311602,0.976383,-0.022666,-0.128543,-0.172163
0.482727,0.140593,-0.051173,0.311634,0.976383,-0.022666,-0.128543,-0.172163
0.492787,0.140592,-0.051173,0.311668,0.976383,-0.022666,-0.128543,-0.172163
0.502842,0.140592,-0.051173,0.311702,0.976383,-0.022666,-0.128543,-0.172163
0.512895,0.140592,-0.051173,0.311739,0.976383,-0.022666,-0.128543,-0.172163
0.522958,0.140591,-0.051173,0.311776,0.976383,-0.022666,-0.128543,-0.172163
0.533152,0.140590,-0.051173,0.311815,0.976383,-0.022666,-0.128543,-0.172163
0.543215,0.140590,-0.051173,0.311856,0.976383,-0.022666,-0.128543,-0.172163
0.553336,0.140589,-0.051173,0.311898,0.976383,-0.022666,-0.128543,-0.172163
0.563391,0.140588,-0.051173,0.311941,0.976383,-0.022666,-0.128543,-0.172163
0.573455,0.140587,-0.051173,0.311986,0.976383,-0.022666,-0.128543,-0.172163
0.583507,0.140587,-0.051173,0.312034,0.976383,-0.022666,-0.128543,-0.172163
0.593565,0.140586,-0.051173,0.312081,0.976383,-0.022666,-0.128543,-0.172163
0.603620,0.140584,-0.051173,0.312131,0.976383,-0.022666,-0.128543,-0.172163
0.613679,0.140583,-0.051173,0.312183,0.976383,-0.022666,-0.128543,-0.172163
0.623744,0.140582,-0.051173,0.312237,0.976383,-0.022666,-0.128543,-0.172163
0.633809,0.140580,-0.051173,0.312291,0.976383,-0.022666,-0.128543,-0.172163
0.643873,0.140579,-0.051173,0.312347,0.976383,-0.022666,-0.128543,-0.172163
0.653938,0.140577,-0.051173,0.312406,0.976383,-0.022666,-0.128543,-0.172163
0.664001,0.140575,-0.051173,0.312466,0.976383,-0.022666,-0.128543,-0.172163
0.674064,0.140573,-0.051173,0.312528,0.976383,-0.022666,-0.128543,-0.172163
0.684128,0.140571,-0.051173,0.312591,0.976383,-0.022666,-0.128543,-0.172163
0.694193,0.140569,-0.051173,0.312656,0.976383,-0.022666,-0.128543,-0.172163
0.704262,0.140566,-0.051173,0.312724,0.976383,-0.022666,-0.128543,-0.172163
0.714326,0.140564,-0.051173,0.312793,0.976383,-0.022666,-0.128543,-0.172163
0.724390,0.140561,-0.051173,0.312864,0.976383,-0.022666,-0.128543,-0.172163
0.734455,0.140558,-0.051173,0.312938,0.976383,-0.022666,-0.128543,-0.172163
0.744518,0.140554,-0.051173,0.313012,0.976383,-0.022666,-0.128543,-0.172163
0.754579,0.140551,-0.051173,0.313089,0.976383,-0.022666,-0.128543,-0.172163
0.764633,0.140547,-0.051173,0.313168,0.976383,-0.022666,-0.128543,-0.172163
0.774687,0.140543,-0.051173,0.313248,0.976383,-0.022666,-0.128543,-0.172163
0.784749,0.140539,-0.051173,0.313331,0.976383,-0.022666,-0.128543,-0.172163
0.794813,0.140534,-0.051173,0.313416,0.976383,-0.022666,-0.128543,-0.172163
0.804878,0.140529,-0.051173,0.313503,0.976383,-0.022666,-0.128543,-0.172163
0.814941,0.140524,-0.051173,0.313592,0.976383,-0.022666,-0.128543,-0.172163
0.825000,0.140512,-0.051173,0.313776,0.976383,-0.022666,-0.128543,-0.172163
0.835061,0.140506,-0.051173,0.313871,0.976383,-0.022666,-0.128543,-0.172163
0.845122,0.140499,-0.051173,0.313969,0.976383,-0.022666,-0.128543,-0.172163
0.855185,0.140492,-0.051173,0.314068,0.976383,-0.022666,-0.128543,-0.172163
0.865245,0.140485,-0.051173,0.314169,0.976383,-0.022666,-0.128543,-0.172163
0.875307,0.140477,-0.051173,0.314273,0.976383,-0.022666,-0.128543,-0.172163
0.885371,0.140469,-0.051173,0.314380,0.976383,-0.022666,-0.128543,-0.172163
0.895430,0.140460,-0.051173,0.314487,0.976383,-0.022666,-0.128543,-0.172163
0.905492,0.140451,-0.051173,0.314599,0.976383,-0.022666,-0.128543,-0.172163
0.915556,0.140441,-0.051173,0.314711,0.976383,-0.022666,-0.128543,-0.172163
0.925618,0.140431,-0.051173,0.314826,0.976383,-0.022666,-0.128543,-0.172163
0.935681,0.140420,-0.051173,0.314944,0.976383,-0.022666,-0.128543,-0.172163
0.945740,0.140408,-0.051173,0.315063,0.976383,-0.022666,-0.128543,-0.172163
0.955804,0.140396,-0.051173,0.315185,0.976383,-0.022666,-0.128543,-0.172163
0.965867,0.140384,-0.051173,0.315309,0.976383,-0.022666,-0.128543,-0.172163
0.975932,0.140371,-0.051173,0.315436,0.976383,-0.022666,-0.128543,-0.172163
0.985994,0.140357,-0.051173,0.315564,0.976383,-0.022666,-0.128543,-0.172163
0.996056,0.140342,-0.051173,0.315695,0.976383,-0.022666,-0.128543,-0.172163
1.006119,0.140327,-0.051173,0.315829,0.976383,-0.022666,-0.128543,-0.172163
1.016185,0.140311,-0.051173,0.315965,0.976383,-0.022666,-0.128543,-0.172163
1.026250,0.140294,-0.051173,0.316103,0.976383,-0.022666,-0.128543,-0.172163
1.036311,0.140276,-0.051173,0.316244,0.976383,-0.022666,-0.128543,-0.172163
1.046374,0.140258,-0.051173,0.316387,0.976383,-0.022666,-0.128543,-0.172163
1.056438,0.140238,-0.051173,0.316532,0.976383,-0.022666,-0.128543,-0.172163
1.066499,0.140218,-0.051173,0.316680,0.976383,-0.022666,-0.128543,-0.172163
1.076562,0.140197,-0.051173,0.316831,0.976383,-0.022666,-0.128543,-0.172163
1.086625,0.140175,-0.051173,0.316984,0.976383,-0.022666,-0.128543,-0.172163
1.096687,0.140152,-0.051173,0.317139,0.976383,-0.022666,-0.128543,-0.172163
1.106749,0.140128,-0.051173,0.317297,0.976383,-0.022666,-0.128543,-0.172163
1.116810,0.140103,-0.051173,0.317457,0.976383,-0.022666,-0.128543,-0.172163
1.126873,0.140077,-0.051173,0.317620,0.976383,-0.022666,-0.128543,-0.172163
1.136936,0.140050,-0.051173,0.317785,0.976383,-0.022666,-0.128543,-0.172163
