t_epoch,t_rel_s,can_id_hex,dlc,data_hex
1784615172.149484,0.000000,0x02,8,03D7CB82C282D823
1784615172.149595,0.000111,0x03,8,028FFF82C282D8D4
1784615172.149644,0.000160,0x04,8,80037FD0F566677B
1784615172.149718,0.000234,0x05,8,7FEA8020511997FF
1784615172.149766,0.000282,0x06,8,80037FE0CCCCC7FF
1784615172.149819,0.000335,0x01,8,207FE88008106872
1784615172.149878,0.000394,0x02,8,2082AF81D82A6A75
1784615172.150194,0.000710,0x03,8,20828682A8C66A74
1784615172.150293,0.000809,0x04,8,1480117FF76F1D1C
1784615172.150570,0.001086,0x05,8,157FC8804813151E
1784615172.153359,0.003875,0x01,8,047BFF7FFA8007FF
1784615172.153523,0.004039,0x02,8,03D7CB82C682C823
1784615172.153644,0.004160,0x03,8,028FFF82C682C8D4
1784615172.153694,0.004210,0x04,8,80037FD0F566677B
1784615172.153763,0.004279,0x05,8,7FEA8020511997FF
1784615172.153846,0.004362,0x06,8,80037FE0CCCCC7FF
1784615172.153895,0.004411,0x01,8,207FE87FE80D6872
1784615172.153946,0.004462,0x02,8,2082B382E8146A75
1784615172.154252,0.004768,0x03,8,20828B8338B46A74
1784615172.154348,0.004864,0x04,8,1480117FF76A1D1C
1784615172.154631,0.005147,0x05,8,157FC8800814151E
1784615172.157452,0.007968,0x01,8,047BFF7FFA8007FF
1784615172.157622,0.008138,0x02,8,03D7CB82CA82C823
1784615172.157724,0.008240,0x03,8,028FFF82CA82C8D4
1784615172.157769,0.008285,0x04,8,80037FD0F566677B
1784615172.157849,0.008365,0x05,8,7FEB8020511997FF
1784615172.157894,0.008410,0x06,8,80037FE0CCCCC7FF
1784615172.157970,0.008486,0x01,8,207FE87FF8056872
1784615172.158043,0.008559,0x02,8,2082B782C82B6A75
1784615172.158319,0.008835,0x03,8,20828F82B8CE6A74
1784615172.158444,0.008960,0x04,8,1480117FF76E1D1C
1784615172.158668,0.009184,0x05,8,157FC8800816151E
1784615172.161546,0.012062,0x01,8,047BFF7FFA8007FF
1784615172.161667,0.012183,0x02,8,03D7CB82CE82C823
1784615172.161845,0.012361,0x03,8,028FFF82CE82C8D4
1784615172.161894,0.012410,0x04,8,80037FD0F566677B
1784615172.161944,0.012460,0x05,8,7FEB8020511997FF
1784615172.162042,0.012558,0x06,8,80037FE0CCCCC7FF
1784615172.162095,0.012611,0x01,8,207FE87FE80D6872
1784615172.162144,0.012660,0x02,8,2082BD83E8216A75
1784615172.162417,0.012933,0x03,8,20829482E8C46A74
1784615172.162520,0.013036,0x04,8,1480117FF76C1D1C
1784615172.162769,0.013285,0x05,8,157FC87FD815151E
1784615172.165552,0.016068,0x01,8,047BFF7FFA8007FF
1784615172.165673,0.016189,0x02,8,03D7CB82D282B823
1784615172.165818,0.016334,0x03,8,028FFF82D282B8D4
1784615172.165878,0.016394,0x04,8,80037FD0F566677B
1784615172.165947,0.016463,0x05,8,7FEC8020511997FF
1784615172.166042,0.016558,0x06,8,80037FE0CCCCC7FF
1784615172.166095,0.016611,0x01,8,207FE87FF8096872
1784615172.166144,0.016660,0x02,8,2082C283D82B6A75
1784615172.166418,0.016934,0x03,8,20829882C8DE6A74
1784615172.166543,0.017059,0x04,8,1480117FF7711D1C
1784615172.166769,0.017285,0x05,8,157FC87FF813151E
1784615172.169565,0.020081,0x01,8,047BFF7FFA8007FF
1784615172.169727,0.020243,0x02,8,03D7CB82D682B822
1784615172.169844,0.020360,0x03,8,028FFF82D682B8D4
1784615172.169893,0.020409,0x04,8,80037FD0F566677B
1784615172.169973,0.020489,0x05,8,7FEC8020511997FF
1784615172.170044,0.020560,0x01,8,207FE87FF8076872
1784615172.170094,0.020610,0x06,8,80037FE0CCCCC7FF
1784615172.170144,0.020660,0x02,8,2082C782682E6A75
1784615172.170444,0.020960,0x03,8,20829C82C8C06A74
1784615172.170568,0.021084,0x04,8,1480117FF76B1D1C
1784615172.170818,0.021334,0x05,8,157FC9802814151E
1784615172.173612,0.024128,0x01,8,047BFF7FFA8007FF
1784615172.173775,0.024291,0x02,8,03D7CB82DA82A822
1784615172.173868,0.024384,0x03,8,028FFF82DA82A8D4
1784615172.173917,0.024433,0x04,8,80037FD0F566677B
1784615172.174042,0.024558,0x05,8,7FEC8020511997FF
1784615172.174126,0.024642,0x06,8,80037FF0CCCCC7FF
1784615172.174169,0.024685,0x01,8,207FE880080C6872
1784615172.174254,0.024770,0x02,8,2082CA82284B6A75
1784615172.174470,0.024986,0x03,8,2082A08318C16A74
1784615172.174595,0.025111,0x04,8,1480117FF7691D1C
1784615172.174879,0.025395,0x05,8,157FC9802811151E
1784615172.177694,0.028210,0x01,8,047BFF7FFA8007FF
1784615172.177858,0.028374,0x02,8,03D7CB82DE82A822
1784615172.177969,0.028485,0x03,8,028FFF82DE82A8D4
1784615172.178042,0.028558,0x04,8,80037FD0F566677B
1784615172.178095,0.028611,0x05,8,7FED8020511997FF
1784615172.178144,0.028660,0x06,8,80027FF0CCCCC7FF
1784615172.178193,0.028709,0x01,8,207FE87FF8136872
1784615172.178252,0.028768,0x02,8,2082CD81E82C6A75
1784615172.178542,0.029058,0x03,8,2082A58278C56A74
1784615172.178667,0.029183,0x04,8,1480117FF76C1D1C
1784615172.178917,0.029433,0x05,8,157FCA803812151E
1784615172.181725,0.032241,0x01,8,047BFF7FFA8007FF
1784615172.181886,0.032402,0x02,8,03D7CB82E2829822
1784615172.182041,0.032557,0x03,8,028FFF82E28298D4
1784615172.182117,0.032633,0x04,8,80037FD0F566677B
1784615172.182166,0.032682,0x05,8,7FED8020511997FF
1784615172.182252,0.032768,0x06,8,80027FF0CCCCC7FF
1784615172.182294,0.032810,0x01,8,207FE87FF8096872
1784615172.182372,0.032888,0x02,8,2082CF81882A6A75
1784615172.182618,0.033134,0x03,8,2082A98308AC6A74
1784615172.182715,0.033231,0x04,8,1480117FF76C1D1C
1784615172.182971,0.033487,0x05,8,157FCA7FE816151E
1784615172.185821,0.036337,0x01,8,047BFF7FFA8007FF
1784615172.186020,0.036536,0x02,8,03D7CB82E6829822
1784615172.186126,0.036642,0x03,8,028FFF82E68298D4
1784615172.186167,0.036683,0x04,8,80037FD0F566677C
1784615172.186242,0.036758,0x01,8,207FE88008106872
1784615172.186318,0.036834,0x05,8,7FEE8020511997FF
1784615172.186368,0.036884,0x02,8,2082D382F81B6A75
1784615172.186443,0.036959,0x06,8,80027FF0CCCCC7FF
1784615172.186693,0.037209,0x03,8,2082AD82A8C76A74
1784615172.186792,0.037308,0x04,8,1480117FF76E1D1C
1784615172.187170,0.037686,0x05,8,157FCA7FE819151E
1784615172.187292,0.037808,0x06,8,1680127FC7DF1420
1784615172.189846,0.040362,0x01,8,047BFF7FFA8007FF
1784615172.190017,0.040533,0x02,8,03D7CB82EA829822
1784615172.190098,0.040614,0x03,8,028FFF82EA8298D4
1784615172.190192,0.040708,0x04,8,80037FD0F566677C
1784615172.190253,0.040769,0x05,8,7FEE8020511997FF
1784615172.190292,0.040808,0x06,8,80027FF0CCCCC7FF
1784615172.190376,0.040892,0x01,8,207FE87FF8146872
1784615172.190417,0.040933,0x02,8,2082D782F81E6A75
1784615172.190714,0.041230,0x03,8,2082B182B8CA6A74
1784615172.190818,0.041334,0x04,8,1480117FF76A1D1C
