t,ref,resp,err,eff
0.000000,-0.261799,-0.232509,0.029290,0.041514
0.010059,-0.261799,-0.232509,0.029290,0.041514
0.020118,-0.261799,-0.243954,0.017846,0.021978
0.030175,-0.261799,-0.245861,0.015938,-0.070818
0.040233,-0.261799,-0.246624,0.015175,-0.109890
0.050287,-0.261799,-0.246624,0.015175,-0.046398
0.060344,-0.261799,-0.246624,0.015175,-0.046398
0.070399,-0.261799,-0.246624,0.015175,-0.046398
0.080454,-0.261799,-0.246624,0.015175,-0.046398
0.090561,-0.261799,-0.246624,0.015175,-0.046398
0.100623,-0.261799,-0.246624,0.015175,-0.046398
0.110687,-0.261799,-0.246624,0.015175,-0.046398
0.120741,-0.261799,-0.246624,0.015175,-0.046398
0.130795,-0.261799,-0.246624,0.015175,-0.046398
0.140855,-0.261799,-0.246624,0.015175,-0.046398
0.150916,-0.261799,-0.246624,0.015175,-0.046398
0.160973,-0.261799,-0.246624,0.015175,-0.046398
0.171037,-0.261799,-0.246624,0.015175,-0.046398
0.181101,-0.261799,-0.246624,0.015175,-0.046398
0.191162,-0.261799,-0.246624,0.015175,-0.046398
0.201223,-0.261799,-0.246624,0.015175,-0.046398
0.211286,-0.261799,-0.246624,0.015175,-0.046398
0.221346,-0.261799,-0.246624,0.015175,-0.046398
0.231409,-0.261799,-0.246624,0.015175,-0.046398
0.241469,-0.261799,-0.246624,0.015175,-0.046398
0.251531,-0.261799,-0.246624,0.015175,-0.046398
0.261586,-0.261799,-0.246624,0.015175,-0.046398
0.271647,-0.261799,-0.246624,0.015175,-0.046398
0.281707,-0.261799,-0.246624,0.015175,-0.046398
0.291767,-0.261799,-0.246624,0.015175,-0.046398
0.301827,-0.261799,-0.246624,0.015175,-0.046398
0.311887,-0.261799,-0.246624,0.015175,-0.046398
0.321946,-0.261799,-0.246624,0.015175,-0.046398
0.332007,-0.261799,-0.246624,0.015175,-0.046398
0.342067,-0.261799,-0.246624,0.015175,-0.046398
0.352127,-0.261799,-0.246624,0.015175,-0.046398
0.362186,-0.261799,-0.246624,0.015175,-0.046398
0.372248,-0.261799,-0.246624,0.015175,-0.046398
0.382338,-0.261799,-0.246624,0.015175,-0.046398
0.392400,-0.261799,-0.246624,0.015175,-0.046398
0.402460,-0.261799,-0.246624,0.015175,-0.046398
0.412515,-0.261799,-0.246624,0.015175,-0.046398
0.422569,-0.261799,-0.246624,0.015175,-0.046398
0.432623,-0.261799,-0.246624,0.015175,-0.046398
0.442676,-0.261799,-0.246624,0.015175,-0.046398
0.452731,-0.261799,-0.246624,0.015175,-0.046398
0.462764,-0.261799,-0.246624,0.015175,-0.046398
0.472819,-0.261799,-0.246624,0.015175,-0.046398
0.482872,-0.261799,-0.246624,0.015175,-0.046398
0.492928,-0.261799,-0.246624,0.015175,-0.046398
0.502985,-0.261799,-0.246624,0.015175,-0.046398
0.513040,-0.261799,-0.246624,0.015175,-0.046398
0.523092,-0.261799,-0.246624,0.015175,-0.046398
0.533146,-0.261799,-0.246624,0.015175,-0.046398
0.543200,-0.261799,-0.246624,0.015175,-0.046398
0.553262,-0.261799,-0.246624,0.015175,-0.046398
0.563324,-0.261799,-0.246624,0.015175,-0.046398
0.573391,-0.261799,-0.246624,0.015175,-0.046398
0.583447,-0.261799,-0.246624,0.015175,-0.046398
0.593502,-0.261799,-0.246624,0.015175,-0.046398
0.603556,-0.261799,-0.246624,0.015175,-0.046398
0.613611,-0.261799,-0.246624,0.015175,-0.046398
0.623668,-0.261799,-0.246624,0.015175,-0.046398
0.633882,-0.261799,-0.246624,0.015175,-0.046398
0.643945,-0.261799,-0.246624,0.015175,-0.046398
0.654036,-0.261799,-0.246624,0.015175,-0.046398
0.664098,-0.261799,-0.246624,0.015175,-0.046398
0.674159,-0.261799,-0.246624,0.015175,-0.046398
0.684219,-0.261799,-0.246624,0.015175,-0.046398
0.694272,-0.261799,-0.246624,0.015175,-0.046398
0.704334,-0.261799,-0.246624,0.015175,-0.046398
0.714394,-0.261799,-0.246624,0.015175,-0.046398
0.724455,-0.261799,-0.246624,0.015175,-0.046398
0.734515,-0.261799,-0.246624,0.015175,-0.046398
0.744576,-0.261799,-0.246624,0.015175,-0.046398
0.754637,-0.261799,-0.246624,0.015175,-0.046398
