t,ref,resp,err,eff
0.000000,-0.261799,-0.255016,0.006783,-0.124542
0.010054,-0.261799,-0.255016,0.006783,-0.124542
0.020106,-0.261799,-0.255016,0.006783,-0.124542
0.030159,-0.261799,-0.255016,0.006783,-0.124542
0.040212,-0.261799,-0.255016,0.006783,-0.124542
0.050264,-0.261799,-0.255016,0.006783,-0.124542
0.060317,-0.261799,-0.255016,0.006783,-0.124542
0.070370,-0.261799,-0.255016,0.006783,-0.178266
0.080424,-0.261799,-0.255016,0.006783,-0.178266
0.090476,-0.261799,-0.255016,0.006783,-0.178266
0.100529,-0.261799,-0.255016,0.006783,-0.178266
0.110583,-0.261799,-0.255016,0.006783,-0.178266
0.120636,-0.261799,-0.255016,0.006783,-0.178266
0.130689,-0.261799,-0.255016,0.006783,-0.178266
0.140741,-0.261799,-0.255016,0.006783,-0.178266
0.150767,-0.261799,-0.255016,0.006783,-0.178266
0.160836,-0.261799,-0.255016,0.006783,-0.178266
0.170900,-0.261799,-0.255016,0.006783,-0.178266
0.180961,-0.261799,-0.255016,0.006783,-0.178266
0.191022,-0.261799,-0.255016,0.006783,-0.178266
0.201082,-0.261799,-0.255016,0.006783,-0.178266
0.211135,-0.261799,-0.255016,0.006783,-0.178266
0.221195,-0.261799,-0.255016,0.006783,-0.178266
0.231257,-0.261799,-0.255016,0.006783,-0.178266
0.241317,-0.261799,-0.255016,0.006783,-0.178266
0.251381,-0.261799,-0.255016,0.006783,-0.178266
0.261443,-0.261799,-0.255016,0.006783,-0.178266
0.271504,-0.261799,-0.255016,0.006783,-0.178266
0.281565,-0.261799,-0.255016,0.006783,-0.178266
0.291626,-0.261799,-0.255016,0.006783,-0.178266
0.301687,-0.261799,-0.255016,0.006783,-0.178266
0.311748,-0.261799,-0.255016,0.006783,-0.178266
0.321810,-0.261799,-0.255016,0.006783,-0.178266
0.331870,-0.261799,-0.255016,0.006783,-0.178266
0.341933,-0.261799,-0.255016,0.006783,-0.178266
0.351994,-0.261799,-0.255016,0.006783,-0.178266
0.362055,-0.261799,-0.255016,0.006783,-0.178266
0.372115,-0.261799,-0.255016,0.006783,-0.178266
0.382176,-0.261799,-0.255016,0.006783,-0.178266
0.392236,-0.261799,-0.255016,0.006783,-0.178266
0.402298,-0.261799,-0.255016,0.006783,-0.178266
