t,ref,resp,err,eff
0.000000,-0.261799,-0.258068,0.003731,-0.119658
0.010061,-0.261799,-0.258068,0.003731,-0.109890
0.020122,-0.261799,-0.258068,0.003731,-0.109890
0.030186,-0.261799,-0.258068,0.003731,-0.109890
0.040250,-0.261799,-0.258068,0.003731,-0.134310
0.050315,-0.261799,-0.258068,0.003731,-0.124542
0.060382,-0.261799,-0.257687,0.004113,-0.114774
0.070451,-0.261799,-0.257687,0.004113,-0.080586
0.080512,-0.261799,-0.257687,0.004113,-0.109890
0.090576,-0.261799,-0.258068,0.003731,-0.129426
0.100629,-0.261799,-0.257687,0.004113,-0.100122
0.110698,-0.261799,-0.257687,0.004113,-0.100122
0.120752,-0.261799,-0.257687,0.004113,-0.109890
0.130804,-0.261799,-0.257687,0.004113,-0.109890
0.140862,-0.261799,-0.257687,0.004113,-0.095238
0.150919,-0.261799,-0.257687,0.004113,-0.119658
0.160972,-0.261799,-0.257687,0.004113,-0.129426
0.171036,-0.261799,-0.257687,0.004113,-0.105006
0.181098,-0.261799,-0.257687,0.004113,-0.017094
0.191152,-0.261799,-0.257687,0.004113,-0.075702
0.201204,-0.261799,-0.257687,0.004113,-0.129426
0.211258,-0.261799,-0.257687,0.004113,-0.109890
0.221310,-0.261799,-0.257305,0.004494,-0.109890
0.231371,-0.261799,-0.257687,0.004113,-0.119658
0.241432,-0.261799,-0.257687,0.004113,-0.129426
0.251494,-0.261799,-0.257687,0.004113,-0.056166
0.261553,-0.261799,-0.257687,0.004113,-0.144078
0.271615,-0.261799,-0.257305,0.004494,-0.139194
0.281679,-0.261799,-0.257305,0.004494,-0.109890
0.291741,-0.261799,-0.257305,0.004494,-0.139194
0.301804,-0.261799,-0.257305,0.004494,-0.075702
0.311867,-0.261799,-0.257305,0.004494,-0.095238
0.321932,-0.261799,-0.257305,0.004494,-0.119658
0.331994,-0.261799,-0.257305,0.004494,-0.100122
0.342056,-0.261799,-0.257305,0.004494,-0.134310
0.352109,-0.261799,-0.257687,0.004113,-0.114774
0.362171,-0.261799,-0.257305,0.004494,-0.139194
0.372234,-0.261799,-0.257305,0.004494,-0.095238
0.382286,-0.261799,-0.257305,0.004494,-0.080586
0.392338,-0.261799,-0.257305,0.004494,-0.129426
0.402359,-0.261799,-0.257305,0.004494,-0.124542
0.412411,-0.261799,-0.257305,0.004494,-0.080586
0.422463,-0.261799,-0.257687,0.004113,-0.119658
0.432514,-0.261799,-0.257305,0.004494,-0.105006
0.442567,-0.261799,-0.257305,0.004494,-0.046398
0.452619,-0.261799,-0.257305,0.004494,-0.124542
0.462671,-0.261799,-0.257305,0.004494,-0.109890
0.472724,-0.261799,-0.257687,0.004113,-0.124542
0.482776,-0.261799,-0.257305,0.004494,-0.114774
0.492828,-0.261799,-0.257305,0.004494,-0.114774
0.502880,-0.261799,-0.257305,0.004494,-0.129426
0.512933,-0.261799,-0.257305,0.004494,-0.124542
0.522987,-0.261799,-0.257305,0.004494,-0.139194
0.533040,-0.261799,-0.257305,0.004494,-0.139194
0.543092,-0.261799,-0.257305,0.004494,-0.119658
0.553144,-0.261799,-0.257305,0.004494,-0.100122
0.563197,-0.261799,-0.257305,0.004494,-0.114774
0.573250,-0.261799,-0.257687,0.004113,-0.095238
0.583303,-0.261799,-0.257305,0.004494,-0.124542
0.593356,-0.261799,-0.257305,0.004494,-0.090354
0.603360,-0.261799,-0.257305,0.004494,-0.114774
0.613412,-0.261799,-0.257305,0.004494,-0.100122
0.623464,-0.261799,-0.257305,0.004494,-0.134310
0.633517,-0.261799,-0.257305,0.004494,-0.080586
0.643570,-0.261799,-0.257305,0.004494,-0.041514
0.653622,-0.261799,-0.257305,0.004494,-0.119658
0.663674,-0.261799,-0.257305,0.004494,-0.129426
0.673727,-0.261799,-0.257305,0.004494,-0.114774
0.683780,-0.261799,-0.257305,0.004494,-0.129426
