t,ref,resp,err,eff
0.000000,-0.261799,-0.255016,0.006783,-0.148962
0.010053,-0.261799,-0.255016,0.006783,-0.168498
0.020105,-0.261799,-0.255398,0.006402,-0.163614
0.030158,-0.261799,-0.255016,0.006783,-0.173382
0.040218,-0.261799,-0.255016,0.006783,-0.129426
0.050280,-0.261799,-0.255016,0.006783,-0.148962
0.060340,-0.261799,-0.255016,0.006783,-0.139194
0.070403,-0.261799,-0.255016,0.006783,-0.153846
0.080467,-0.261799,-0.255016,0.006783,-0.173382
0.090527,-0.261799,-0.255016,0.006783,-0.158730
0.100597,-0.261799,-0.255016,0.006783,-0.158730
0.110663,-0.261799,-0.255016,0.006783,-0.163614
0.120724,-0.261799,-0.255016,0.006783,-0.134310
0.130776,-0.261799,-0.255016,0.006783,-0.168498
0.140836,-0.261799,-0.255016,0.006783,-0.124542
0.150888,-0.261799,-0.255016,0.006783,-0.134310
0.160940,-0.261799,-0.255016,0.006783,-0.148962
0.170993,-0.261799,-0.255016,0.006783,-0.139194
0.181046,-0.261799,-0.255016,0.006783,-0.148962
0.191098,-0.261799,-0.255016,0.006783,-0.144078
0.201150,-0.261799,-0.255016,0.006783,-0.148962
0.211203,-0.261799,-0.255016,0.006783,-0.144078
0.221256,-0.261799,-0.255016,0.006783,-0.163614
0.231299,-0.261799,-0.255016,0.006783,-0.134310
0.241352,-0.261799,-0.255016,0.006783,-0.168498
0.251404,-0.261799,-0.255016,0.006783,-0.163614
0.261456,-0.261799,-0.255016,0.006783,-0.168498
0.271516,-0.261799,-0.255016,0.006783,-0.183150
0.281568,-0.261799,-0.255016,0.006783,-0.153846
0.291619,-0.261799,-0.255016,0.006783,-0.148962
0.301672,-0.261799,-0.255016,0.006783,-0.134310
0.311725,-0.261799,-0.255016,0.006783,-0.148962
0.321777,-0.261799,-0.255016,0.006783,-0.139194
0.331830,-0.261799,-0.255016,0.006783,-0.163614
0.341883,-0.261799,-0.255398,0.006402,-0.188034
0.351935,-0.261799,-0.255016,0.006783,-0.139194
0.361987,-0.261799,-0.255016,0.006783,-0.139194
0.372039,-0.261799,-0.255016,0.006783,-0.129426
0.382093,-0.261799,-0.255016,0.006783,-0.148962
0.392146,-0.261799,-0.255016,0.006783,-0.168498
0.402199,-0.261799,-0.255016,0.006783,-0.158730
0.412251,-0.261799,-0.255016,0.006783,-0.144078
0.422301,-0.261799,-0.255016,0.006783,-0.129426
0.432354,-0.261799,-0.255016,0.006783,-0.144078
0.442403,-0.261799,-0.255016,0.006783,-0.148962
0.452478,-0.261799,-0.255016,0.006783,-0.168498
0.462529,-0.261799,-0.255016,0.006783,-0.139194
0.472580,-0.261799,-0.255016,0.006783,-0.134310
0.482631,-0.261799,-0.255016,0.006783,-0.153846
0.492683,-0.261799,-0.255016,0.006783,-0.139194
0.502734,-0.261799,-0.255016,0.006783,-0.144078
0.512785,-0.261799,-0.255016,0.006783,-0.173382
0.522836,-0.261799,-0.255016,0.006783,-0.139194
0.532888,-0.261799,-0.255016,0.006783,-0.178266
0.542940,-0.261799,-0.255016,0.006783,-0.148962
0.552993,-0.261799,-0.255016,0.006783,-0.144078
0.563044,-0.261799,-0.255016,0.006783,-0.114774
0.573096,-0.261799,-0.255016,0.006783,-0.163614
0.583148,-0.261799,-0.255016,0.006783,-0.178266
0.593200,-0.261799,-0.255016,0.006783,-0.153846
0.603261,-0.261799,-0.255016,0.006783,-0.158730
0.613324,-0.261799,-0.255016,0.006783,-0.173382
0.623388,-0.261799,-0.255016,0.006783,-0.148962
0.633440,-0.261799,-0.255016,0.006783,-0.148962
0.643492,-0.261799,-0.255016,0.006783,-0.153846
0.653543,-0.261799,-0.255016,0.006783,-0.173382
0.663595,-0.261799,-0.255016,0.006783,-0.134310
0.673646,-0.261799,-0.255016,0.006783,-0.129426
0.683698,-0.261799,-0.255016,0.006783,-0.178266
0.693750,-0.261799,-0.255016,0.006783,-0.148962
0.703802,-0.261799,-0.255016,0.006783,-0.163614
0.713864,-0.261799,-0.255016,0.006783,-0.148962
0.723927,-0.261799,-0.255016,0.006783,-0.144078
0.733979,-0.261799,-0.255016,0.006783,-0.148962
0.744031,-0.261799,-0.255016,0.006783,-0.129426
0.754083,-0.261799,-0.255016,0.006783,-0.153846
0.764136,-0.261799,-0.255016,0.006783,-0.139194
0.774188,-0.261799,-0.255016,0.006783,-0.148962
0.784241,-0.261799,-0.255016,0.006783,-0.129426
0.794295,-0.261799,-0.255398,0.006402,-0.139194
0.804345,-0.261799,-0.255016,0.006783,-0.124542
0.814395,-0.261799,-0.255016,0.006783,-0.173382
0.824444,-0.261799,-0.255016,0.006783,-0.173382
0.834497,-0.261799,-0.255016,0.006783,-0.178266
0.844549,-0.261799,-0.255016,0.006783,-0.168498
0.854587,-0.261799,-0.255016,0.006783,-0.129426
0.864640,-0.261799,-0.255016,0.006783,-0.153846
0.874691,-0.261799,-0.255016,0.006783,-0.144078
0.884744,-0.261799,-0.255016,0.006783,-0.173382
0.894811,-0.261799,-0.255016,0.006783,-0.158730
0.904864,-0.261799,-0.255016,0.006783,-0.119658
0.914920,-0.261799,-0.255016,0.006783,-0.148962
0.924975,-0.261799,-0.255016,0.006783,-0.148962
0.935027,-0.261799,-0.255016,0.006783,-0.168498
0.945078,-0.261799,-0.255016,0.006783,-0.124542
0.955131,-0.261799,-0.255016,0.006783,-0.158730
0.965184,-0.261799,-0.255016,0.006783,-0.158730
0.975237,-0.261799,-0.255016,0.006783,-0.158730
0.985289,-0.261799,-0.255398,0.006402,-0.163614
0.995341,-0.261799,-0.255016,0.006783,-0.153846
1.005392,-0.260388,-0.255016,0.005371,-0.163614
1.015447,-0.257755,-0.255016,0.002739,-0.153846
1.025500,-0.255124,-0.255016,0.000107,-0.134310
1.035552,-0.252492,-0.255016,-0.002524,-0.109890
1.045603,-0.249861,-0.254635,-0.004774,-0.051282
1.055655,-0.247229,-0.254635,-0.007406,-0.095238
1.065706,-0.244598,-0.254253,-0.009656,-0.046398
1.075758,-0.241966,-0.253872,-0.011906,-0.041514
1.085811,-0.239334,-0.253491,-0.014156,-0.002442
1.095862,-0.236703,-0.253109,-0.016406,0.031746
1.105916,-0.234071,-0.252346,-0.018275,0.046398
1.115994,-0.231432,-0.251965,-0.020532,0.080586
1.126048,-0.228800,-0.251202,-0.022402,0.100122
1.136101,-0.226168,-0.250439,-0.024271,0.061050
1.146154,-0.223536,-0.249294,-0.025758,0.061050
1.156206,-0.220905,-0.248150,-0.027245,0.051282
1.166259,-0.218273,-0.247005,-0.028733,0.109890
1.176311,-0.215641,-0.246242,-0.030601,0.114774
1.186333,-0.213018,-0.244717,-0.031699,0.119658
1.196385,-0.210386,-0.243572,-0.033186,0.197802
1.206439,-0.207754,-0.242046,-0.034292,0.178266
1.216492,-0.205122,-0.241283,-0.036161,0.129426
1.226595,-0.202477,-0.239376,-0.036899,0.168498
1.236659,-0.199842,-0.238231,-0.038389,0.168498
1.246723,-0.197207,-0.237087,-0.039880,0.197802
1.256785,-0.194573,-0.235561,-0.040988,0.261294
1.266848,-0.191939,-0.234417,-0.042478,0.241758
1.276904,-0.189306,-0.232509,-0.043203,0.261294
1.286968,-0.186671,-0.231365,-0.044694,0.207570
1.297037,-0.184035,-0.229076,-0.045041,0.183150
1.307093,-0.181403,-0.227550,-0.046147,0.153846
1.317146,-0.178771,-0.225261,-0.046491,0.144078
1.327198,-0.176139,-0.223354,-0.047215,0.056166
1.337251,-0.173507,-0.219921,-0.046413,-0.070818
1.347305,-0.170875,-0.218013,-0.047138,-0.012210
1.357358,-0.168243,-0.214580,-0.046337,-0.046398
1.367413,-0.165611,-0.211910,-0.046299,-0.158730
1.377467,-0.162979,-0.208858,-0.045879,-0.002442
1.387531,-0.160344,-0.206950,-0.046607,0.031746
1.397593,-0.157710,-0.203899,-0.046189,0.065934
1.407646,-0.155078,-0.201991,-0.046913,0.114774
1.417698,-0.152446,-0.199702,-0.047256,0.168498
1.427748,-0.149815,-0.197795,-0.047980,0.148962
1.437800,-0.147183,-0.195506,-0.048323,0.168498
1.447853,-0.144552,-0.193980,-0.049428,0.222222
1.457904,-0.141920,-0.191691,-0.049771,0.271062
1.467956,-0.139289,-0.190166,-0.050877,0.256410
1.478008,-0.136657,-0.187495,-0.050838,0.158730
1.488060,-0.134026,-0.185206,-0.051181,0.134310
1.498112,-0.131394,-0.182536,-0.051142,0.075702
1.508164,-0.128762,-0.180629,-0.051866,0.031746
1.518216,-0.126131,-0.177958,-0.051828,-0.026862
1.528268,-0.123499,-0.174525,-0.051026,-0.036630
1.538320,-0.120868,-0.172236,-0.051369,0.002442
1.548372,-0.118236,-0.168803,-0.050567,-0.036630
1.558424,-0.115604,-0.166133,-0.050528,-0.012210
1.568475,-0.112973,-0.163081,-0.050108,-0.021978
