t_epoch,t_rel_s,can_id_hex,dlc,data_hex
1784616160.230072,0.000000,0x02,8,03D7CB808F82682E
1784616160.230121,0.000049,0x01,8,207FE67FF7FB6872
1784616160.230371,0.000299,0x03,8,028FFF80958268DF
1784616160.230424,0.000352,0x02,8,20807B81F8416A76
1784616160.230673,0.000601,0x04,8,800F7FD0F5666775
1784616160.230722,0.000650,0x03,8,2080588188DB6B75
1784616160.230966,0.000894,0x04,8,1480107FF7711D1C
1784616160.231051,0.000979,0x05,8,7FBD8010511997FF
1784616160.231372,0.001300,0x06,8,7FD08000CCCCC7FF
1784616160.231425,0.001353,0x05,8,157FB07FD806151E
1784616160.231582,0.001510,0x06,8,167FC77FF80F1420
1784616160.233775,0.003703,0x01,8,047BFF7FEA8007FF
1784616160.234091,0.004019,0x02,8,03D7CB809282782E
1784616160.234143,0.004071,0x01,8,207FE68007FC6872
1784616160.234397,0.004325,0x02,8,20807F82B8226A76
1784616160.234447,0.004375,0x03,8,028FFF80998278DF
1784616160.234715,0.004643,0x04,8,800F7FD0F5666775
1784616160.234768,0.004696,0x03,8,20805A81F8C06B75
1784616160.235025,0.004953,0x04,8,1480107FF7701D1C
1784616160.235075,0.005003,0x05,8,7FBE8010511997FF
1784616160.235371,0.005299,0x06,8,7FD08000CCCCC7FF
1784616160.235424,0.005352,0x05,8,157FB0801802151E
1784616160.235621,0.005549,0x06,8,167FC77FD8121420
1784616160.237831,0.007759,0x01,8,047BFF7FEA8007FF
1784616160.238174,0.008102,0x02,8,03D7CB809682782E
1784616160.238215,0.008143,0x01,8,207FE67FE8006872
1784616160.238496,0.008424,0x03,8,028FFF809D8278DF
1784616160.238548,0.008476,0x02,8,2080838238336A76
1784616160.238799,0.008727,0x04,8,800F7FD0F5666775
1784616160.238845,0.008773,0x03,8,20805E8258C86B75
1784616160.239080,0.009008,0x04,8,1480107FF76F1D1C
1784616160.239121,0.009049,0x05,8,7FBE8010511997FF
1784616160.239423,0.009351,0x06,8,7FD08000CCCCC7FF
1784616160.239472,0.009400,0x05,8,157FB17FF806151E
1784616160.239673,0.009601,0x06,8,167FC67FF80C1420
1784616160.241903,0.011831,0x01,8,047BFF7FEA8007FF
1784616160.242245,0.012173,0x02,8,03D7CB809A82882E
1784616160.242299,0.012227,0x01,8,207FE67FE7F96872
1784616160.242545,0.012473,0x03,8,028FFF80A08278DF
1784616160.242601,0.012529,0x02,8,2080868308306A76
1784616160.242841,0.012769,0x04,8,800F7FD0F5666775
1784616160.242901,0.012829,0x03,8,20806181A8D56B75
1784616160.243098,0.013026,0x04,8,1480107FF76E1D1C
1784616160.243163,0.013091,0x05,8,7FBE8010511997FF
1784616160.243473,0.013401,0x06,8,7FD08000CCCCC7FF
1784616160.243523,0.013451,0x05,8,157FB180180A151E
1784616160.243750,0.013678,0x06,8,167FC680280B1420
1784616160.245971,0.015899,0x01,8,047BFF7FEA8007FF
1784616160.246372,0.016300,0x02,8,03D7CB809E82882E
1784616160.246424,0.016352,0x01,8,207FE67FF7FF6872
1784616160.246647,0.016575,0x03,8,028FFF80A48288DF
1784616160.246699,0.016627,0x02,8,20808A8278226A76
1784616160.246973,0.016901,0x04,8,800F7FD0F5666775
1784616160.247021,0.016949,0x03,8,20806381E8DE6B75
1784616160.247203,0.017131,0x04,8,1480107FF76C1D1C
1784616160.247273,0.017201,0x05,8,7FBF8010511997FF
1784616160.247580,0.017508,0x05,8,157FB17FF807151E
1784616160.247618,0.017546,0x06,8,7FD18010CCCCC7FF
1784616160.247871,0.017799,0x06,8,167FC67F980C1420
1784616160.249975,0.019903,0x01,8,047BFF7FEA8007FF
1784616160.250373,0.020301,0x02,8,03D7CB80A182982E
1784616160.250427,0.020355,0x01,8,207FE67FF8006872
1784616160.250647,0.020575,0x03,8,028FFF80A88288DE
1784616160.250710,0.020638,0x02,8,20808F8338326A76
1784616160.250975,0.020903,0x04,8,800F7FD0F5666775
1784616160.251023,0.020951,0x03,8,2080678228D36B75
1784616160.251228,0.021156,0x04,8,1480107FF7701D1C
1784616160.251300,0.021228,0x05,8,7FBF8010511997FF
1784616160.251547,0.021475,0x05,8,157FB1803809151E
1784616160.251621,0.021549,0x06,8,7FD18010CCCCC7FF
1784616160.251874,0.021802,0x06,8,167FC77FF8151420
1784616160.254050,0.023978,0x01,8,047BFF7FEA8007FF
1784616160.254373,0.024301,0x02,8,03D7CB80A582982E
1784616160.254427,0.024355,0x01,8,207FE680080A6872
1784616160.254675,0.024603,0x03,8,028FFF80AC8298DE
1784616160.254715,0.024643,0x02,8,2080938248226A76
1784616160.254973,0.024901,0x04,8,800F7FD0F5666775
1784616160.255021,0.024949,0x03,8,20806A8218D46B75
1784616160.255272,0.025200,0x05,8,7FBF8010511997FF
1784616160.255370,0.025298,0x04,8,1480107FF76F1D1C
1784616160.255579,0.025507,0x06,8,7FD18010CCCCC7FF
1784616160.255620,0.025548,0x05,8,157FB1801806151E
1784616160.255870,0.025798,0x06,8,167FC77FE8161420
1784616160.258094,0.028022,0x01,8,047BFF7FEA8007FF
1784616160.258423,0.028351,0x02,8,03D7CB80A982A82E
1784616160.258472,0.028400,0x01,8,207FE67FF8006872
1784616160.258746,0.028674,0x03,8,028FFF80B08298DE
1784616160.258794,0.028722,0x02,8,20809683082C6A76
1784616160.259080,0.029008,0x04,8,800F7FD0F5666775
1784616160.259121,0.029049,0x03,8,20806E8268DE6B75
1784616160.259298,0.029226,0x04,8,1480107FF76E1D1C
1784616160.259370,0.029298,0x05,8,7FC08010511997FF
1784616160.259673,0.029601,0x05,8,157FB17FE80C151E
1784616160.259715,0.029643,0x06,8,7FD18010CCCCC7FF
1784616160.259970,0.029898,0x06,8,167FC77FC81B1420
1784616160.262147,0.032075,0x01,8,047BFF7FEB8007FF
1784616160.262472,0.032400,0x02,8,03D7CB80AD82A82E
1784616160.262520,0.032448,0x01,8,207FE680180D6872
1784616160.262747,0.032675,0x03,8,028FFF80B482A8DE
1784616160.262799,0.032727,0x02,8,20809B82E82E6A76
1784616160.263048,0.032976,0x04,8,800F7FD0F5666775
1784616160.263120,0.033048,0x03,8,20807181F8D86B75
1784616160.263372,0.033300,0x05,8,7FC08010511997FF
1784616160.263423,0.033351,0x04,8,1480107FF76F1D1C
1784616160.263673,0.033601,0x05,8,157FB17FE80A151E
1784616160.263719,0.033647,0x06,8,7FD28010CCCCC7FF
1784616160.263973,0.033901,0x06,8,167FC77FE81A1420
1784616160.266146,0.036074,0x01,8,047BFF7FEB8007FF
1784616160.266472,0.036400,0x02,8,03D7CB80B182A82E
1784616160.266525,0.036453,0x01,8,207FE68018026872
1784616160.266742,0.036670,0x03,8,028FFF80B782A8DE
1784616160.266800,0.036728,0x02,8,20809F82F8416A76
1784616160.267080,0.037008,0x04,8,800F7FD0F5666775
