t,ref,resp,err,eff
0.000000,-0.261799,-0.255398,0.006402,-0.124542
0.010056,-0.261799,-0.255398,0.006402,-0.129426
0.020111,-0.261799,-0.255398,0.006402,-0.144078
0.030167,-0.261799,-0.255398,0.006402,-0.144078
0.040220,-0.261799,-0.255016,0.006783,-0.144078
0.050273,-0.261799,-0.255398,0.006402,-0.153846
0.060328,-0.261799,-0.255398,0.006402,-0.134310
0.070382,-0.261799,-0.255398,0.006402,-0.139194
0.080434,-0.261799,-0.255398,0.006402,-0.173382
0.090497,-0.261799,-0.255398,0.006402,-0.148962
0.100560,-0.261799,-0.255398,0.006402,-0.153846
0.110615,-0.261799,-0.255398,0.006402,-0.139194
0.120668,-0.261799,-0.255398,0.006402,-0.173382
0.130722,-0.261799,-0.255398,0.006402,-0.139194
0.140753,-0.261799,-0.255398,0.006402,-0.153846
0.150806,-0.261799,-0.255398,0.006402,-0.139194
0.160863,-0.261799,-0.255016,0.006783,-0.173382
0.170914,-0.261799,-0.255398,0.006402,-0.153846
0.180969,-0.261799,-0.255398,0.006402,-0.158730
0.191034,-0.261799,-0.255398,0.006402,-0.134310
0.201096,-0.261799,-0.255398,0.006402,-0.153846
0.211149,-0.261799,-0.255398,0.006402,-0.168498
0.221201,-0.261799,-0.255398,0.006402,-0.124542
0.231253,-0.261799,-0.255398,0.006402,-0.173382
0.241305,-0.261799,-0.255398,0.006402,-0.153846
0.251358,-0.261799,-0.255398,0.006402,-0.163614
0.261409,-0.261799,-0.255398,0.006402,-0.168498
0.271461,-0.261799,-0.255398,0.006402,-0.163614
0.281513,-0.261799,-0.255398,0.006402,-0.158730
0.291565,-0.261799,-0.255398,0.006402,-0.148962
0.301616,-0.261799,-0.255398,0.006402,-0.148962
0.311668,-0.261799,-0.255398,0.006402,-0.173382
0.321720,-0.261799,-0.255398,0.006402,-0.129426
0.331753,-0.261799,-0.255398,0.006402,-0.114774
0.341805,-0.261799,-0.255016,0.006783,-0.153846
0.351857,-0.261799,-0.255398,0.006402,-0.139194
0.361910,-0.261799,-0.255398,0.006402,-0.139194
0.371963,-0.261799,-0.255398,0.006402,-0.153846
0.382015,-0.261799,-0.255398,0.006402,-0.109890
0.392067,-0.261799,-0.255398,0.006402,-0.139194
0.402119,-0.261799,-0.255398,0.006402,-0.183150
0.412175,-0.261799,-0.255398,0.006402,-0.139194
0.422230,-0.261799,-0.255398,0.006402,-0.148962
0.432284,-0.261799,-0.255398,0.006402,-0.114774
0.442338,-0.261799,-0.255398,0.006402,-0.139194
0.452402,-0.261799,-0.255016,0.006783,-0.173382
0.462427,-0.261799,-0.255398,0.006402,-0.139194
0.472479,-0.261799,-0.255398,0.006402,-0.153846
0.482567,-0.261799,-0.255398,0.006402,-0.158730
0.492619,-0.261799,-0.255398,0.006402,-0.173382
0.502672,-0.261799,-0.255398,0.006402,-0.139194
0.512726,-0.261799,-0.255398,0.006402,-0.144078
0.522777,-0.261799,-0.255016,0.006783,-0.148962
0.532832,-0.261799,-0.255398,0.006402,-0.178266
0.542887,-0.261799,-0.255398,0.006402,-0.129426
0.552943,-0.261799,-0.255398,0.006402,-0.163614
0.562997,-0.261799,-0.255398,0.006402,-0.134310
0.573051,-0.261799,-0.255398,0.006402,-0.173382
0.583103,-0.261799,-0.255398,0.006402,-0.163614
0.593158,-0.261799,-0.255398,0.006402,-0.139194
0.603208,-0.261799,-0.255016,0.006783,-0.134310
0.613255,-0.261799,-0.255398,0.006402,-0.158730
0.623308,-0.261799,-0.255398,0.006402,-0.163614
0.633361,-0.261799,-0.255398,0.006402,-0.134310
0.643412,-0.261799,-0.255398,0.006402,-0.148962
0.653469,-0.261799,-0.255398,0.006402,-0.139194
0.663524,-0.261799,-0.255398,0.006402,-0.163614
0.673586,-0.261799,-0.255398,0.006402,-0.144078
0.683649,-0.261799,-0.255398,0.006402,-0.144078
0.693705,-0.261799,-0.255016,0.006783,-0.134310
0.703757,-0.261799,-0.255398,0.006402,-0.173382
0.713815,-0.261799,-0.255016,0.006783,-0.153846
0.723866,-0.261799,-0.255398,0.006402,-0.153846
0.733922,-0.261799,-0.255398,0.006402,-0.173382
0.743988,-0.261799,-0.255398,0.006402,-0.163614
0.754116,-0.261799,-0.255398,0.006402,-0.134310
0.764172,-0.261799,-0.255398,0.006402,-0.144078
0.774236,-0.261799,-0.255016,0.006783,-0.163614
0.784298,-0.261799,-0.255016,0.006783,-0.144078
0.794363,-0.261799,-0.255398,0.006402,-0.139194
0.804428,-0.261799,-0.255398,0.006402,-0.168498
0.814480,-0.261799,-0.255016,0.006783,-0.119658
0.824533,-0.261799,-0.255398,0.006402,-0.158730
0.834589,-0.261799,-0.255398,0.006402,-0.173382
0.844641,-0.261799,-0.255398,0.006402,-0.158730
0.854707,-0.261799,-0.255398,0.006402,-0.163614
0.864771,-0.261799,-0.255398,0.006402,-0.192918
0.874833,-0.261799,-0.255398,0.006402,-0.173382
0.884897,-0.261799,-0.255398,0.006402,-0.173382
0.894950,-0.261799,-0.255398,0.006402,-0.148962
0.905006,-0.261799,-0.255398,0.006402,-0.134310
0.915058,-0.261799,-0.255398,0.006402,-0.144078
0.925111,-0.261799,-0.255398,0.006402,-0.129426
0.935163,-0.261799,-0.255398,0.006402,-0.168498
0.945218,-0.261799,-0.255398,0.006402,-0.148962
0.955268,-0.261799,-0.255016,0.006783,-0.148962
0.965320,-0.261799,-0.255398,0.006402,-0.148962
0.975375,-0.261799,-0.255016,0.006783,-0.158730
0.985429,-0.261799,-0.255398,0.006402,-0.139194
0.995481,-0.261799,-0.255398,0.006402,-0.124542
1.005534,-0.260351,-0.255398,0.004953,-0.144078
1.015587,-0.257719,-0.255398,0.002321,-0.144078
1.025635,-0.255088,-0.255398,-0.000310,-0.144078
1.035686,-0.252457,-0.255398,-0.002941,-0.095238
1.045738,-0.249825,-0.255016,-0.005191,-0.070818
1.055754,-0.247203,-0.254635,-0.007432,-0.061050
1.065807,-0.244571,-0.254635,-0.010064,-0.021978
1.075863,-0.241939,-0.254253,-0.012315,0.007326
1.085915,-0.239307,-0.253872,-0.014565,-0.002442
1.095969,-0.236675,-0.253491,-0.016816,0.036630
1.106020,-0.234043,-0.252728,-0.018684,0.056166
1.116076,-0.231411,-0.251965,-0.020554,0.080586
1.126132,-0.228778,-0.251583,-0.022805,0.085470
1.136185,-0.226146,-0.250820,-0.024674,0.100122
1.146240,-0.223514,-0.249676,-0.026162,0.061050
1.156291,-0.220882,-0.248531,-0.027649,0.085470
1.166345,-0.218250,-0.247387,-0.029137,0.095238
1.176414,-0.215614,-0.246242,-0.030628,0.109890
1.186477,-0.212980,-0.245098,-0.032118,0.144078
1.196532,-0.210347,-0.243572,-0.033225,0.153846
1.206592,-0.207714,-0.242809,-0.035096,0.158730
1.216657,-0.205079,-0.241283,-0.036204,0.153846
1.226724,-0.202443,-0.240139,-0.037696,0.168498
1.236787,-0.199809,-0.238231,-0.038423,0.144078
1.246842,-0.197176,-0.237087,-0.039911,0.217338
1.256908,-0.194541,-0.235561,-0.041020,0.231990
1.266974,-0.191906,-0.234417,-0.042511,0.227106
1.277041,-0.189270,-0.232509,-0.043239,0.227106
1.287105,-0.186635,-0.231365,-0.044729,0.197802
1.297196,-0.183994,-0.229076,-0.045082,0.158730
1.307250,-0.181362,-0.227550,-0.046189,0.129426
