t,ref,resp,err,eff
0.000001,-0.261799,-0.258068,0.003731,-0.148962
0.010067,-0.261799,-0.258068,0.003731,-0.119658
0.020123,-0.261799,-0.258068,0.003731,-0.114774
0.030178,-0.261799,-0.258068,0.003731,-0.124542
0.040235,-0.261799,-0.258068,0.003731,-0.100122
0.050289,-0.261799,-0.258068,0.003731,-0.090354
0.060356,-0.261799,-0.258068,0.003731,-0.100122
0.070404,-0.261799,-0.258068,0.003731,-0.085470
0.080457,-0.261799,-0.258068,0.003731,-0.114774
0.090521,-0.261799,-0.257687,0.004113,-0.100122
0.100584,-0.261799,-0.257687,0.004113,-0.139194
0.110635,-0.261799,-0.258068,0.003731,-0.105006
0.120697,-0.261799,-0.257687,0.004113,-0.100122
0.130761,-0.261799,-0.257687,0.004113,-0.090354
0.140821,-0.261799,-0.258068,0.003731,-0.100122
0.150883,-0.261799,-0.258068,0.003731,-0.129426
0.160945,-0.261799,-0.257687,0.004113,-0.119658
0.171010,-0.261799,-0.257687,0.004113,-0.109890
0.181062,-0.261799,-0.257687,0.004113,-0.124542
0.191119,-0.261799,-0.258068,0.003731,-0.100122
0.201181,-0.261799,-0.257687,0.004113,-0.105006
0.211243,-0.261799,-0.257687,0.004113,-0.124542
0.221304,-0.261799,-0.257687,0.004113,-0.124542
0.231365,-0.261799,-0.257687,0.004113,-0.090354
0.241428,-0.261799,-0.257687,0.004113,-0.065934
0.251490,-0.261799,-0.257687,0.004113,-0.100122
0.261553,-0.261799,-0.257687,0.004113,-0.139194
0.271616,-0.261799,-0.257687,0.004113,-0.105006
0.281680,-0.261799,-0.257687,0.004113,-0.109890
0.291733,-0.261799,-0.257687,0.004113,-0.129426
0.301782,-0.261799,-0.257687,0.004113,-0.134310
0.311833,-0.261799,-0.257687,0.004113,-0.075702
0.321882,-0.261799,-0.257687,0.004113,-0.153846
0.331932,-0.261799,-0.257687,0.004113,-0.114774
0.341983,-0.261799,-0.257687,0.004113,-0.124542
0.352034,-0.261799,-0.257687,0.004113,-0.124542
0.362088,-0.261799,-0.257687,0.004113,-0.109890
0.372151,-0.261799,-0.257687,0.004113,-0.134310
0.382214,-0.261799,-0.257687,0.004113,-0.095238
0.392268,-0.261799,-0.257305,0.004494,-0.109890
0.402320,-0.261799,-0.257687,0.004113,-0.124542
0.412373,-0.261799,-0.257687,0.004113,-0.124542
0.422424,-0.261799,-0.257305,0.004494,-0.090354
0.432475,-0.261799,-0.257687,0.004113,-0.129426
0.442527,-0.261799,-0.257305,0.004494,-0.124542
0.452578,-0.261799,-0.257687,0.004113,-0.119658
0.462629,-0.261799,-0.257305,0.004494,-0.119658
